coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,risk,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
measurable-da...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
spacechain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,78,0,N/A,N/A,N/A,0.0,11129000,-0.11,-0.09,-1.35,-1.35,-0.142,nan,-0.008,nan
aeron,19 Sep 2017,30 Oct 2017,41.0,221.0,10,transportation,11,4897723.0,30610769.0,0.16,0.5,19595,0,30285,0.5,N/A,-0.189,8757,0.13,0.16,2.58,2.58,0.117,nan,0.028,nan
mooncoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1754,0.35,0.13,2.06,2.06,-0.193,nan,0.072,nan
cappasity,22 Feb 2018,22 Mar 2018,28.0,78.0,1,saas,5,2301451.0,19178758.0,0.12,0.01,58361,0,37708,0.62,N/A,2.315,887638,0.12,0.17,2.68,2.68,0.47,nan,0.014,nan
prochain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,2150570,0.08,0.06,0.91,0.91,-0.142,nan,0.002,nan
callisto-network,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,35859,1.64,2.85,5.69,5.69,0.919,nan,0.06,nan
dadi,29 Jan 2018,29 Jan 2018,0.0,130.0,4,fintech,15,29000000.0,29000000.0,1.0,0.5,22093,0,32298,0.38,N/A,-0.112,2381560,-0.21,-0.05,-0.8,-0.8,0.009,nan,-0.006,nan
nework,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,4777680,0.12,-0.05,-0.83,-0.83,-0.381,nan,0.009,nan
moeda-loyalty...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
i/o-coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
restart-energ...,N/A,N/A,N/A,N/A,12,energy,N/A,30000000.0,30000000.0,1.0,0.0864,28609,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lala-world,5 Jan 2018,5 Feb 2018,31.0,123.0,7,saas,5,20191350.0,20191350.0,1.0,0.13,823,0,10201,0.34,N/A,-0.253,28433,-0.44,0.0,0.04,0.04,0.149,nan,0.009,nan
blocktix,7 Jul 2017,25 Jul 2017,18.0,318.0,5,entertainment,7,6981328.0,7506804.0,0.93,0.24,N/A,0,6035,N/A,N/A,-0.174,11878,0.29,0.07,1.17,1.17,0.052,nan,0.018,nan
hi-mutual-soc...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bitusd,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,3784,-0.03,0.02,0.29,0.29,-0.04,nan,0.002,nan
ai-doctor,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
nolimitcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1086,-0.16,0.07,1.08,1.08,-0.098,nan,0.03,nan
muse,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,12,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bitcoin-atom,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,2865,-0.46,-0.23,-3.64,-3.64,0.325,nan,-0.019,nan
agrello,16 Jul 2017,17 Aug 2017,32.0,295.0,5,saas,13,30100000.0,43000000.0,0.7,0.56,4814,0,14965,0.8,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
uptoken,16 Oct 2017,15 Dec 2017,60.0,175.0,1,fintech,9,18934021.0,35063002.0,0.54,0.1,25,0,3071,N/A,N/A,2.021,21597500,-0.43,-0.08,-1.21,-1.21,0.802,nan,-0.011,nan
hempcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,1556,0,N/A,N/A,N/A,0.0,19,0.26,0.16,2.58,2.58,-0.041,nan,0.027,nan
covesting,24 Nov 2017,15 Jan 2018,52.0,144.0,7,saas,12,18750000.0,18750000.0,1.0,2.56,8936,0,10272,0.82,N/A,0.207,328108,-0.21,-0.12,-1.95,-1.95,-0.248,nan,-0.005,nan
sentinel-chain,1 Mar 2018,10 Mar 2018,9.0,90.0,7,fintech,23,14400000.0,14400000.0,1.0,0.08,9231,0,4103,0.36,N/A,-0.184,1945280,0.52,0.11,1.74,1.74,-0.109,nan,0.007,nan
oneroot-network,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,675903,-0.1,-0.15,-2.45,-2.45,-0.071,nan,-0.001,nan
selfkey,14 Jan 2018,14 Jan 2018,0.0,145.0,7,fintech,48,21776392.0,21776392.0,1.0,0.02,11260,0,0,0.74,N/A,2.327,31248100,-0.52,-0.26,-4.06,-4.06,-0.257,nan,-0.013,nan
morpheus-network,22 Mar 2018,22 Apr 2018,31.0,47.0,12,other,12,9883347.0,17969722.0,0.55,0.45,12103,0,5985,0.64,N/A,-0.104,193829,0.64,1.12,2.23,2.23,-0.244,nan,0.019,nan
banyan-network,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,4844290,-0.04,0.02,0.33,0.33,-0.397,nan,-0.005,nan
daostack,8 May 2018,7 Jun 2018,30.0,1.0,7,transportation,9,30000000.0,30000000.0,1.0,1.0,23982,0,5844,0.66,N/A,0.31,1927100,-0.36,-2.88,-5.75,-5.75,0.317,nan,-0.034,nan
diamond,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,0.0,0.19,0.08,1.3,1.3,-0.243,nan,0.008,nan
numeraire,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,4354180,0.08,0.08,1.28,1.28,-0.106,nan,0.004,nan
oax,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,49180,0.54,0.11,1.79,1.79,-0.108,nan,0.009,nan
monetaryunit,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,13,0.23,0.11,1.74,1.74,0.015,nan,0.032,nan
quantum,15 Apr 2017,15 May 2017,30.0,389.0,5,blockchain,5,4122700.0,N/A,N/A,0.05,N/A,0,9204,N/A,N/A,5.732,136233,0.19,0.06,0.93,0.93,-0.075,nan,0.005,nan
ormeus-coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,232789,0.01,0.21,3.3,3.3,-0.007,nan,0.009,nan
omni,N/A,N/A,N/A,N/A,12,blockchain,N/A,7497400.0,24991333.0,0.3,0.46,25592,0,N/A,N/A,N/A,231.957,0.0,0.02,-0.01,-0.21,-0.21,0.006,nan,0.008,nan
carvertical,26 Dec 2017,4 Apr 2018,99.0,65.0,5,saas,20,19911150.0,19911150.0,1.0,0.0055,13333,0,N/A,N/A,N/A,1.65,451064,-0.05,-0.07,-1.18,-1.18,-0.727,nan,-0.008,nan
gincoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,135113,0.5,0.87,1.75,1.75,-0.732,nan,0.005,nan
oxycoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,95485,0.0,0.09,1.47,1.47,-0.018,nan,0.01,nan
loki,,26 Mar 2018,25.0,74.0,12,telecommunications,14,N/A,N/A,N/A,0.68,17137,0,3166,0.46,N/A,0.259,230900,-0.21,-0.36,-0.72,-0.72,1.032,nan,0.001,nan
revolutionvr,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,162143,-0.3,-0.1,-1.66,-1.66,0.08,nan,0.005,nan
e-dinar-coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1101000,-0.1,-0.03,-0.42,-0.42,0.075,nan,0.0,nan
boolberry,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1226,-0.39,-0.18,-2.93,-2.93,-0.016,nan,0.012,nan
coinpoker,19 Jan 2018,26 Jan 2018,7.0,133.0,7,entertainment,15,52712179.0,N/A,N/A,0.25,4929,0,5282,0.86,N/A,-0.61,350963,-0.38,-0.01,-0.18,-0.18,-0.522,nan,-0.005,nan
echolink,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,57501,0,N/A,N/A,N/A,0.0,14911900,-0.04,-0.09,-1.35,-1.35,0.182,nan,-0.003,nan
blockport,27 Jan 2018,31 Jan 2018,4.0,132.0,12,fintech,N/A,15000000.0,15000000.0,1.0,0.35,28404,0,N/A,0.42,N/A,0.25,1024180,-0.0,0.07,1.04,1.04,-0.188,nan,0.001,nan
uquid-coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,177887,0.17,0.14,2.28,2.28,-0.342,nan,0.006,nan
sureremit,10 Jan 2018,10 Feb 2018,31.0,118.0,1,saas,11,10000000.0,10000000.0,1.0,1.0,2080,0,4449,0.34,N/A,-0.963,35294,-0.22,0.02,0.31,0.31,-0.546,nan,0.004,nan
atmchain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
stronghands,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,628,0.38,0.01,0.2,0.2,-0.366,nan,0.066,nan
remme,13 Feb 2018,22 Feb 2018,9.0,106.0,7,saas,20,20000000.0,20000000.0,1.0,0.04,16321,0,6039,0.74,N/A,-0.209,587552,-0.34,-0.0,-0.05,-0.05,0.045,nan,0.0,nan
rialto,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,51162,0.27,0.2,3.11,3.11,-0.158,nan,0.013,nan
sakura-bloom,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,48435,-0.14,-1.1,-2.19,-2.19,0.022,nan,-0.002,nan
radium,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,1561,0,N/A,N/A,N/A,0.0,2668,0.23,0.27,4.29,4.29,-0.13,nan,0.014,nan
betterbetting,15 Dec 2017,31 Jan 2018,47.0,128.0,5,other,16,5500000.0,30555556.0,0.18,0.1,2969,0,2586,N/A,N/A,-0.1,196193,-0.04,-0.3,-0.59,-0.59,-0.942,nan,0.004,nan
airtoken,19 Sep 2017,19 Oct 2017,30.0,232.0,1,telecommunications,14,15000000.0,15000000.0,1.0,0.02,908,0,6513,0.72,N/A,-0.313,303295,-0.25,0.02,0.38,0.38,0.011,nan,0.006,nan
swissborg,7 Dec 2017,10 Jan 2018,34.0,149.0,6,blockchain,13,50000000.0,50000000.0,1.0,0.1,4756,0,11265,0.3,N/A,0.028,115322,-0.35,-0.18,-2.92,-2.92,-0.233,nan,-0.008,nan
olympus-labs,N/A,N/A,N/A,N/A,12,other,N/A,60324750.0,60324750.0,1.0,2.18,10570,0,36001,0.56,N/A,-0.495,2510470,0.12,0.01,0.08,0.08,-0.159,nan,-0.002,nan
rise,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,42224,0.18,0.03,0.47,0.47,0.062,nan,0.016,nan
policypal-net...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bittube,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
te-food,22 Feb 2018,22 Mar 2018,28.0,78.0,6,fintech,19,19100000.0,19100000.0,1.0,0.05,10245,0,10294,0.5,N/A,-0.448,302268,-0.04,0.09,1.4,1.4,-0.201,nan,0.002,nan
heronode,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,551160,-0.04,-0.07,-0.14,-0.14,-0.614,nan,-0.003,nan
smartlands,2 Nov 2017,20 Nov 2017,18.0,200.0,12,fintech,11,1753698.0,25052829.0,0.07,1.0,1703,0,1988,0.68,N/A,-0.803,102013,0.24,0.16,2.52,2.52,0.211,nan,0.046,nan
neumark,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,351032,0.35,0.12,1.96,1.96,-0.049,nan,0.007,nan
expanse,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,3473,-0.06,-0.08,-1.31,-1.31,-0.129,nan,0.033,nan
florincoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,0.0,0.32,0.17,2.66,2.66,-0.078,nan,0.013,nan
divi,25 Oct 2017,21 Nov 2017,27.0,199.0,12,other,15,2592064.0,2592064.0,1.0,0.62,2248,0,N/A,0.66,N/A,0.365,56068,0.17,0.24,3.82,3.82,-0.202,nan,0.013,nan
mark.space,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
latoken,22 Aug 2017,10 Oct 2017,49.0,241.0,7,fintech,35,18880673.0,40171645.0,0.47,0.3,5541,0,8154,0.44,N/A,-0.058,163778,-0.05,0.11,1.73,1.73,-0.048,nan,0.005,nan
hacken,31 Oct 2017,30 Nov 2017,30.0,190.0,2,blockchain,8,70000002.0,N/A,N/A,1.0,1939,0,9525,0.74,N/A,5.77,320959,0.16,0.07,1.05,1.05,0.093,nan,0.007,nan
solarcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1988,-0.07,0.02,0.37,0.37,-0.066,nan,0.013,nan
unibright,20 Apr 2018,20 May 2018,30.0,19.0,5,fintech,13,13542375.0,13542375.0,1.0,0.14,10203,0,5362,0.24,N/A,0.384,2400200,-1.22,-2.12,-4.23,-4.23,-0.856,nan,-0.038,nan
sharder,22 Feb 2018,22 Mar 2018,28.0,78.0,12,saas,N/A,5398600.0,5398600.0,1.0,0.0446,10534,0,N/A,0.26,N/A,1.284,3209300,-0.17,-1.36,-2.71,-2.71,-0.607,nan,-0.017,nan
zap,21 Oct 2017,20 Nov 2017,30.0,200.0,7,blockchain,23,2827944.0,31421600.0,0.09,0.19,131,0,N/A,N/A,N/A,4.059,899137,-0.1,-0.06,-1.01,-1.01,-0.274,nan,-0.007,nan
friendz,1 Mar 2018,20 Mar 2018,19.0,80.0,6,fintech,18,13754758.0,50943548.0,0.27,0.067,69564,0,55857,0.6,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
rubycoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,270,0.22,0.16,2.49,2.49,0.1,nan,0.014,nan
graft,18 Jan 2018,18 Feb 2018,31.0,110.0,1,blockchain,15,3000000.0,25000000.0,0.12,0.28,5464,0,2628,N/A,N/A,-0.846,40067,-0.3,-0.0,-0.06,-0.06,0.236,nan,0.007,nan
vericoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,19234,0.35,0.23,3.69,3.69,-0.104,nan,0.013,nan
aphelion,15 Nov 2017,7 Dec 2017,22.0,183.0,12,fintech,12,4780661.0,6733325.0,0.71,0.2,14001,0,14721,N/A,N/A,0.456,63598,0.25,1.96,3.93,3.93,-0.401,nan,0.013,nan
indahash,29 Nov 2017,20 Dec 2017,21.0,170.0,5,saas,15,42715825.0,66743477.0,0.64,0.24,11615,0,9938,0.84,N/A,1.561,3113160,-0.2,-0.11,-1.73,-1.73,-0.326,nan,-0.012,nan
exrnchain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,32400,0.02,0.21,3.33,3.33,0.587,nan,0.071,nan
hydrogen,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,130253,0.35,2.82,5.63,5.63,-1.37,nan,0.06,nan
newyorkcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,66,0.25,0.12,1.98,1.98,3.934,nan,0.391,nan
sibcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,15,0.03,0.1,1.55,1.55,-0.154,nan,0.011,nan
flash,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,2437,-0.03,0.05,0.72,0.72,0.128,nan,0.014,nan
bitclave,29 Nov 2017,29 Nov 2017,0.0,191.0,1,saas,19,25547000.0,25547000.0,1.0,0.1,10597,0,22791,0.66,N/A,0.505,957302,0.12,-0.01,-0.23,-0.23,-0.004,nan,-0.004,nan
nebula-ai,31 Mar 2018,20 Apr 2018,20.0,49.0,1,other,20,5874054.0,17800164.0,0.33,0.0059,5451,0,1438,N/A,N/A,1.039,155134,-0.01,-0.07,-0.15,-0.15,-0.395,nan,-0.008,nan
etheroll,13 Feb 2017,27 Feb 2017,14.0,466.0,12,other,N/A,36349723.0,N/A,N/A,0.07,N/A,0,2168,N/A,N/A,15.857,33962,0.21,0.13,2.02,2.02,-4.48,nan,2.541,nan
locktrip,29 Oct 2017,30 Nov 2017,32.0,190.0,5,other,20,4000000.0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sharex,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,353,0,N/A,N/A,N/A,0.0,2610280,-0.17,-0.11,-1.69,-1.69,0.135,nan,0.003,nan
polis,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,355546,0.09,0.01,0.1,0.1,-0.388,nan,-0.001,nan
everus,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,7499,0.19,-0.02,-0.35,-0.35,0.161,nan,-0.002,nan
pareto-network,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,90088,0.2,-0.05,-0.74,-0.74,-0.323,nan,0.005,nan
clams,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,80,-0.01,0.03,0.44,0.44,-0.094,nan,0.009,nan
global-curren...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lomocoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,24527,-0.03,0.04,0.6,0.6,-0.132,nan,0.026,nan
rivetz,10 Aug 2017,10 Sep 2017,31.0,271.0,1,saas,16,18653920.0,20057978.0,0.93,0.89,1586,0,9804,0.5,N/A,-0.446,31436,-0.0,-0.04,-0.59,-0.59,-0.004,nan,0.007,nan
myriad,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,67637,-0.13,0.05,0.84,0.84,-0.053,nan,0.009,nan
elixir,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,230357,0.29,0.16,2.48,2.48,-0.092,nan,0.025,nan
get-protocol,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,92849,-0.16,-0.0,-0.03,-0.03,0.189,nan,0.004,nan
polyswarm,20 Feb 2018,22 Mar 2018,30.0,78.0,1,saas,7,25940000.0,49884615.0,0.52,0.0165,7656,0,16,0.72,N/A,-0.643,25413,0.41,3.28,6.56,6.56,-0.029,nan,0.01,nan
deviantcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,20697,0.55,4.33,8.67,8.67,0.134,nan,0.032,nan
axpire,8 Jan 2018,12 Jan 2018,4.0,147.0,1,other,15,20000000.0,20000000.0,1.0,0.1,8104,0,6529,0.44,N/A,0.324,292608,-0.23,-0.15,-2.36,-2.36,-0.599,nan,-0.008,nan
databits,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,87,0.47,0.31,4.88,4.88,-0.148,nan,0.009,nan
dubaicoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,169,0.26,0.28,4.42,4.42,0.076,nan,0.037,nan
bitsend,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,4409,0.15,0.14,2.16,2.16,0.141,nan,0.052,nan
domraider,12 Sep 2017,9 Oct 2017,27.0,242.0,5,saas,33,67200000.0,67200000.0,1.0,0.12,356,0,152,0.62,N/A,-0.461,13888,0.02,0.09,1.36,1.36,-0.034,nan,0.006,nan
matryx,13 Sep 2017,12 Oct 2017,29.0,239.0,1,saas,15,1984347.0,9019759.0,0.22,0.29,1532,0,109,0.22,N/A,1.498,1031,0.21,0.11,1.8,1.8,-0.223,nan,0.018,nan
bitdegree,1 Dec 2017,29 Dec 2017,28.0,161.0,5,social services,22,22127834.0,22127834.0,1.0,0.08,16898,0,20488,0.72,N/A,5.711,693702,-0.2,0.05,0.79,0.79,-1.014,nan,0.01,nan
the-champcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,205243,0.04,0.04,0.62,0.62,0.003,nan,0.0,nan
hubii-network,17 Aug 2017,31 Aug 2017,14.0,281.0,7,telecommunications,15,7130256.0,50930400.0,0.14,0.39,1262,0,4636,N/A,N/A,-0.493,23209,0.18,0.13,2.06,2.06,0.186,nan,0.03,nan
rebl,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,1072350,-0.18,-0.12,-1.98,-1.98,0.133,nan,-0.004,nan
morpheus-labs,N/A,N/A,N/A,N/A,12,blockchain,N/A,9600000.0,10105263.0,0.95,0.1,3234,0,N/A,N/A,N/A,-0.184,488558,-0.21,-1.7,-3.4,-3.4,-0.029,nan,-0.01,nan
fluz-fluz,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,22868,0.07,0.06,0.99,0.99,-0.514,nan,0.006,nan
russian-miner...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
swarm-city,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,467,0.25,0.22,3.57,3.57,-0.199,nan,0.023,nan
espers,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,2957,0.33,0.17,2.64,2.64,-0.184,nan,0.101,nan
playkey,1 Nov 2017,1 Dec 2017,30.0,189.0,2,entertainment,16,10512361.0,105123610.0,0.1,1.76,10004,0,10020,0.76,N/A,-0.682,9317,0.43,0.13,2.14,2.14,-0.213,nan,0.011,nan
zoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,1316,0,N/A,N/A,N/A,0.0,99,-0.26,-0.04,-0.69,-0.69,-0.583,nan,0.078,nan
neoscoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,6474,0.19,-0.01,-0.11,-0.11,-0.141,nan,0.016,nan
nexium,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,39,0.14,0.22,3.54,3.54,-0.112,nan,0.012,nan
shipchain,N/A,N/A,N/A,N/A,12,other,29,30000000.0,30000000.0,1.0,0.34,29835,0,130,0.44,N/A,-0.16,49895,-0.41,-0.07,-1.13,-1.13,-0.393,nan,-0.012,nan
napoleonx,N/A,N/A,N/A,N/A,12,fintech,N/A,13951976.0,18357863.0,0.76,0.87,6495,0,N/A,N/A,N/A,-0.689,20199,0.05,0.09,1.49,1.49,0.074,nan,0.01,nan
atn,27 Apr 2018,20 May 2018,23.0,19.0,12,saas,15,N/A,N/A,N/A,N/A,15583,0,4892,N/A,N/A,0.0,603047,0.18,-0.01,-0.09,-0.09,-0.052,nan,-0.004,nan
cvcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,2595,0.18,0.15,2.4,2.4,0.04,nan,0.052,nan
nimiq-exchang...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
musicoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,20112,0.28,0.21,3.28,3.28,-0.079,nan,0.018,nan
