coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc
maecenas,7 Sep 2017,8 Oct 2017,31,242,4,saas,8,15375432,18982015,0.81,0.64,1014,2,2333,0.38,-0.279,11868,0.09,0.17,2.68,2.68,-0.234,nan,0.025
hive-project,3 Jul 2017,14 Aug 2017,42,297,5,fintech,18,8949421,N/A,N/A,0.02,N/A,N/A,3042,0.82,0.045,216,0.17,0.12,1.84,1.84,-0.046,nan,0.017
cobinhood,13 Sep 2017,22 Oct 2017,39,228,12,blockchain,5,13078406,25150781,0.52,0.07,12292,7,45718,0.2,-0.262,41446,0.22,0.25,3.91,3.91,0.164,nan,0.011
coss,8 Aug 2017,6 Sep 2017,29,274,7,saas,24,3200000,N/A,N/A,0.56,N/A,2,196,0.48,-0.919,116130,0.39,0.12,1.9,1.9,0.09,nan,0.016
datum,29 Oct 2017,29 Nov 2017,31,190,6,saas,19,7581120,29158154,0.26,0.02,7917,4,36508,0.34,0.397,160521,0.6,0.18,2.92,2.92,-0.121,nan,0.006
viberate,5 Sep 2017,5 Sep 2017,0,275,5,entertainment,34,12000000,12000000,1,0.1,5637,7,33081,0.56,1.75,1490480,-0.19,-0.08,-1.24,-1.24,-0.157,nan,0.004
propy,15 Aug 2017,15 Sep 2017,31,265,1,real estate,11,15077000,100513333,0.15,1,N/A,3,N/A,0.98,-0.255,26854,-0.1,-0.03,-0.52,-0.52,-0.048,nan,0.011
refereum,12 Feb 2018,12 Mar 2018,28,87,1,saas,14,32252400,32252400,1,0.01,99916,3,54238,0.32,1.043,1161020,-0.26,-0.04,-0.56,-0.56,0.03,nan,-0.004
firstblood,25 Sep 2016,26 Sep 2016,1,619,1,blockchain,13,5500000,N/A,N/A,0.08,14,1,31436,N/A,0.991,1255030,-0.2,-0.23,-3.61,-3.61,0.125,nan,0.008
bankex,28 Nov 2017,28 Dec 2017,30,161,1,fintech,9,70600000,103823529,0.68,1.47,6247,4,7661,0.82,0.932,371912,-0.43,-0.22,-3.5,-3.5,-0.13,nan,-0.012
humaniq,6 Apr 2017,27 Apr 2017,21,406,4,saas,19,5163000,N/A,N/A,0.06,N/A,10,30576,N/A,0.178,420384,0.19,0.13,2,2,0.04,nan,0.009
medicalchain,1 Feb 2018,1 Feb 2018,0,126,4,insurance services,10,23991953,24000000,1,0.2,26951,3,15887,0.64,0.588,122744,-0.12,-0.25,-4.03,-3.96,-0.071,0.382,-0.006
alphacat,12 Jan 2018,12 Jan 2018,0,146,12,fintech,7,N/A,N/A,N/A,N/A,8923,0,N/A,N/A,0,474748,-0.19,-0.07,-1.14,-1.14,-0.111,nan,-0.001
mothership,7 Jul 2017,21 Jul 2017,14,321,5,saas,10,5406897,7724139,0.7,0.04,N/A,1,483,0.6,0.006,88727,0.49,0.24,3.74,3.74,-0.055,nan,0.009
stox,2 Aug 2017,4 Aug 2017,2,307,7,fintech,20,33000000,33000000,1,1.1,9359,6,13808,0.48,0.1,1294120,0.4,0.04,0.7,0.7,-0.089,nan,0.002
cofound.it,31 May 2017,07 Jun 2017,7,372,5,fintech,9,14820030,12500000,1,0.12,1092,1,N/A,N/A,1.682,3663160,-0.2,0.04,0.66,0.67,0.004,-1.513,0.001
bloom,30 Nov 2017,1 Jan 2018,32,157,1,saas,11,41420705,80500000,0.51,0.7,13548,3,443,N/A,1.714,101651,-0.32,-0.15,-2.35,-2.31,-0.123,-0.748,-0.005
peerplays,26 Feb 2017,14 May 2017,77,389,1,entertainment,7,5000000,N/A,N/A,4.6,1439,1,5473,N/A,1.446,10275,0.25,0.07,1.13,1.13,0.042,nan,0.01
polybius,31 May 2017,30 Jun 2017,30,342,5,fintech,11,62956169,99930427,0.63,10,3558,5,9,N/A,-0.192,506294,-0.02,0.07,1.03,1.03,-0.363,nan,0.006
synereo,18 Sep 2016,18 Oct 2016,30,597,12,saas,0,4700000,4700000,1,0.19,N/A,1,26677,N/A,-0.988,241,0.23,0.24,3.83,3.83,-0.096,nan,0.013
stk,31 Jan 2018,14 Feb 2018,14,113,1,blockchain,16,17000000,N/A,N/A,0.2,7223,3,10047,N/A,0.262,12919500,-0.23,-0.23,-3.68,-3.68,-0.295,nan,-0.007
envion,15 Dec 2017,14 Jan 2018,30,144,6,blockchain,12,100000000,149253731,0.67,1,22198,5,21224,0.66,-0.036,168394,-0.22,-0.13,-2,-2,-0.282,nan,-0.014
adtoken,26 Jun 2017,26 Jun 2017,0,346,12,saas,N/A,10000000,N/A,N/A,0.02,N/A,1,6584,N/A,2.26,334,-0.07,0.05,0.87,0.87,-0.24,nan,0.007
suncontract,28 Jun 2017,1 Aug 2017,34,310,5,energy,31,2000000,N/A,N/A,0.02,2,1,15197,0.76,1.128,35660,0.05,0.14,2.3,2.3,0.087,nan,0.015
everex,24 Jul 2017,31 Aug 2017,38,280,7,fintech,9,25840000,26101010,0.99,2.13,4669,2,14055,N/A,-0.103,1389230,0.12,0.04,0.62,0.62,0.107,nan,0.005
dmarket,14 Nov 2017,01 Dec 2017,17,188,2,entertainment,4,19026768,52852133,0.36,0.63,3448,3,7235,0.68,0.542,18992,-0.03,0.06,1.02,1.02,0.108,nan,0.008
chronobank,15 Dec 2016,15 Feb 2017,62,477,2,saas,1,5400000,N/A,N/A,10,N/A,7,19807,N/A,-0.06,42133,-0.26,0.03,0.44,0.44,-0.154,nan,0.007
lala-world,5 Jan 2018,5 Feb 2018,31,122,7,saas,5,20191350,20191350,1,0.13,823,N/A,10054,0.34,-0.253,28433,-0.44,0,0.04,0.04,0.149,nan,0.01
lamden,1 Dec 2017,3 Jan 2018,33,155,6,fintech,15,10000000,10000000,1,0.03,9142,1,N/A,0.36,21.283,937600,0.03,-0.05,-0.83,-0.83,-0.336,nan,-0.003
matchpool,2 Apr 2017,4 Apr 2017,2,429,12,saas,7,5800000,N/A,N/A,0.1,2214,1,N/A,N/A,1.41,610,0.18,0.12,1.84,1.84,0.057,-0.365,0.024
sentinel-chain,1 Mar 2018,10 Mar 2018,9,89,7,fintech,23,14400000,14400000,1,0.08,9272,1,4027,0.36,-0.184,1945280,0.52,0.11,1.74,1.74,-0.11,nan,0.008
monetha,31 Aug 2017,31 Aug 2017,0,280,5,fintech,11,35910000,35910000,1,0.19,4751,1,18969,0.68,0.502,2743890,-0.15,-0.11,-1.76,-1.76,-0.166,nan,0.003
dimcoin,1 Jul 2017,27 Aug 2017,57,284,11,fintech,20,14005746,14005746,1,0.01,3085,8,N/A,0.68,23.562,1409400,-0.49,-0.22,-3.44,-3.44,0.112,nan,-0.006
aeron,19 Sep 2017,30 Oct 2017,41,220,10,transportation,11,4897723,30610769,0.16,0.5,19619,1,29773,0.5,-0.189,8757,0.13,0.16,2.58,2.58,0.116,nan,0.028
blackmoon,12 Sep 2017,12 Oct 2017,30,238,12,blockchain,14,30000000,30000000,1,1.1,3484,1,6419,0.46,-0.235,592273,0.01,-0.11,-1.71,-1.71,-0.097,nan,0.004
cappasity,22 Feb 2018,22 Mar 2018,28,77,1,saas,18,2301451,19178758,0.12,0.01,58426,7,37610,0.62,2.315,887638,0.12,0.17,2.68,2.68,0.47,nan,0.014
airtoken,19 Sep 2017,19 Oct 2017,30,231,1,telecommunications,14,15000000,15000000,1,0.02,896,1,6451,0.72,-0.313,303295,-0.25,0.02,0.38,0.38,0.012,nan,0.005
incent,1 Sep 2016,1 Sep 2016,0,644,9,blockchain,7,1000000,N/A,N/A,0.1,N/A,1,13231,N/A,-0.918,43,0.22,0.14,2.19,2.19,-0.029,nan,0.031
morpheus-network,22 Mar 2018,22 Apr 2018,31,46,12,other,12,9883347,17969722,0.55,0.45,12073,0,5790,0.64,-0.104,193829,0.79,1.36,2.72,2.72,-0.196,nan,0.024
dadi,29 Jan 2018,29 Jan 2018,0,129,4,fintech,15,29000000,29000000,1,0.5,22089,1,31672,0.38,-0.112,2381560,-0.21,-0.05,-0.8,-0.8,0.009,nan,-0.005
uptoken,16 Oct 2017,15 Dec 2017,60,174,1,fintech,9,18934021,35063002,0.54,0.1,23,1,3037,N/A,2.021,21597500,-0.43,-0.08,-1.21,-1.21,0.803,nan,-0.01
blocktix,7 Jul 2017,25 Jul 2017,18,317,5,entertainment,7,6981328,7506804,0.93,0.24,N/A,1,5976,N/A,-0.174,11878,0.29,0.07,1.17,1.17,0.052,nan,0.018
selfkey,14 Jan 2018,14 Jan 2018,0,144,7,fintech,48,21776392,21776392,1,0.02,11273,1,0,0.74,2.327,31248100,-0.52,-0.26,-4.06,-4.06,-0.257,nan,-0.013
agrello,16 Jul 2017,17 Aug 2017,32,294,5,saas,13,30100000,43200000,0.7,0.56,4820,1,14946,0.8,-0.284,82770,-0.06,0,-0.03,-0.02,-0.058,-3.347,0.005
karma,29 Nov 2017,15 Dec 2017,16,174,2,fintech,15,10000000,10000000,1,0.01,1219,1,4210,0.44,5.911,150439,-0.01,-0.17,-2.67,-2.67,-0.367,nan,-0.007
daostack,8 May 2018,7 Jun 2018,30,0,7,transportation,9,30000000,30000000,1,1,24069,9,5766,0.68,0.31,1927100,-0.36,-2.88,-5.75,-5.75,0.306,nan,-0.035
carvertical,26 Dec 2017,4 Apr 2018,99,64,5,saas,20,19911150,19911150,1,0.0055,13340,3,N/A,N/A,1.65,451064,-0.05,-0.07,-1.18,-1.18,-0.727,nan,-0.008
covesting,24 Nov 2017,15 Jan 2018,52,143,7,saas,12,18750000,18750000,1,2.56,8919,9,10122,0.82,0.207,328108,-0.21,-0.12,-1.95,-1.95,-0.248,nan,-0.005
quantum,15 Apr 2017,15 May 2017,30,388,5,blockchain,5,4122700,N/A,N/A,0.05,N/A,1,9188,N/A,5.732,136233,0.19,0.06,0.93,0.93,-0.075,nan,0.005
swissborg,7 Dec 2017,10 Jan 2018,34,148,6,blockchain,13,50000000,50000000,1,0.1,4757,10,11176,0.3,0.028,115322,-0.35,-0.18,-2.92,-2.92,-0.233,nan,-0.007
coinpoker,19 Jan 2018,26 Jan 2018,7,132,7,entertainment,15,52712179,N/A,N/A,0.05,4916,8,5241,0.86,0.95,350963,-0.38,-0.01,-0.18,-0.18,-0.521,nan,-0.004
blockport,27 Jan 2018,31 Jan 2018,4,131,12,fintech,N/A,15000000,15000000,1,0.35,28406,1,N/A,0.42,0.25,1024180,0,0.07,1.04,1.04,-0.188,nan,0.002
loki,,26 Mar 2018,25,73,12,telecommunications,14,N/A,N/A,N/A,0.68,17165,0,3070,0.46,0.259,230900,0,0,0,0,1.051,nan,0.004
sureremit,10 Jan 2018,10 Feb 2018,31,117,1,saas,11,10000000,10000000,1,1,2071,1,4429,0.34,-0.963,35294,-0.22,0.02,0.31,0.31,-0.546,nan,0.004
te-food,22 Feb 2018,22 Mar 2018,28,77,6,fintech,19,19100000,19100000,1,0.05,10265,1,10033,0.5,-0.448,302268,-0.04,0.09,1.4,1.4,-0.202,nan,0.002
remme,13 Feb 2018,22 Feb 2018,9,105,7,saas,20,20000000,20000000,1,0.04,16348,2,5884,0.74,-0.209,587552,-0.34,0,-0.05,-0.05,0.046,nan,0.001
latoken,22 Aug 2017,10 Oct 2017,49,240,7,fintech,35,18880673,40171645,0.47,0.3,5539,1,8053,0.44,-0.058,163778,-0.05,0.11,1.73,1.73,-0.048,nan,0.005
divi,25 Oct 2017,21 Nov 2017,27,198,12,other,15,2592064,2592064,1,0.62,2248,1,N/A,0.66,0.365,56068,0.17,0.24,3.82,3.82,-0.202,nan,0.013
unibright,20 Apr 2018,20 May 2018,30,18,5,fintech,13,13542375,13542375,1,0.14,10235,0,5271,0.24,0.384,2400200,-1.35,-2.34,-4.68,-4.68,-0.883,nan,-0.043
indahash,29 Nov 2017,20 Dec 2017,21,169,5,saas,15,42715825,66743477,0.64,0.24,11638,9,9855,0.84,1.561,3113160,-0.2,-0.11,-1.73,-1.73,-0.326,nan,-0.011
betterbetting,15 Dec 2017,31 Jan 2018,47,127,5,other,16,5500000,30555556,0.18,0.1,2970,1,2565,N/A,-0.1,196193,-0.04,-0.3,-0.59,-0.59,-0.941,nan,0.004
graft,18 Jan 2018,18 Feb 2018,31,109,1,blockchain,15,3000000,25000000,0.12,0.28,5463,5,2595,N/A,-0.846,40067,-0.3,0,-0.06,-0.06,0.236,nan,0.008
smartlands,2 Nov 2017,20 Nov 2017,18,199,12,fintech,11,1753698,25052829,0.07,1,1695,1,1968,0.68,-0.803,102013,0.24,0.16,2.52,2.52,0.211,nan,0.046
sharder,22 Feb 2018,22 Mar 2018,28,77,12,saas,N/A,5398600,5398600,1,0.0446,10560,1,N/A,0.26,1.284,3209300,-0.17,-1.36,-2.71,-2.71,-0.615,nan,-0.018
aphelion,15 Nov 2017,7 Dec 2017,22,182,12,fintech,12,4780661,6733325,0.71,0.2,14016,1,14365,N/A,0.456,63598,0.25,1.96,3.93,3.93,-0.385,nan,0.015
hacken,31 Oct 2017,30 Nov 2017,30,189,2,blockchain,8,70000002,N/A,N/A,1,1936,3,9264,0.74,5.77,320959,0.16,0.07,1.05,1.05,0.094,nan,0.007
friendz,1 Mar 2018,20 Mar 2018,19,79,6,fintech,18,13754758,50300000,0.27,0.067,69664,6,55797,0.6,-0.704,250482,0.16,0.06,1.03,1.04,-0.43,-2.301,0.008
paragon,15 Sep 2017,15 Oct 2017,30,235,1,other,12,6000000,100000000,0.06,1,3803,6,N/A,N/A,-0.35,284896,-0.16,0.01,0.14,0.14,-0.163,nan,0
rivetz,10 Aug 2017,10 Sep 2017,31,270,1,saas,16,18653920,20057978,0.93,0.89,1587,1,9726,0.5,-0.446,31436,0,-0.04,-0.59,-0.59,-0.004,nan,0.007
etheroll,13 Feb 2017,27 Feb 2017,14,465,12,other,N/A,36349723,N/A,N/A,0.07,N/A,0,2151,N/A,15.857,33962,0.21,0.13,2.02,2.02,-4.492,nan,2.548
zap,21 Oct 2017,20 Nov 2017,30,199,7,blockchain,23,2827944,31421600,0.09,0.19,130,1,N/A,N/A,4.059,899137,-0.1,-0.06,-1.01,-1.01,-0.274,nan,-0.007
locktrip,29 Oct 2017,30 Nov 2017,32,189,5,other,20,4000000,N/A,N/A,N/A,N/A,1,N/A,N/A,0,169077,0.44,0.14,2.19,2.2,0.064,-2.064,0.01
bitclave,29 Nov 2017,29 Nov 2017,0,190,1,saas,19,25547000,25547000,1,0.1,10619,6,22655,0.66,0.505,957302,0.12,-0.01,-0.23,-0.23,-0.003,nan,-0.003
polyswarm,20 Feb 2018,22 Mar 2018,30,77,1,saas,7,25940000,49884615,0.52,0.0165,7656,7,16,0.72,-0.643,25413,0.41,3.28,6.56,6.56,-0.028,nan,0.009
axpire,8 Jan 2018,12 Jan 2018,4,146,1,other,15,20000000,20000000,1,0.1,8084,1,6428,0.44,0.324,292608,-0.23,-0.15,-2.36,-2.36,-0.598,nan,-0.008
nebula-ai,31 Mar 2018,20 Apr 2018,20,48,1,other,20,5874054,17800164,0.33,0.0059,5475,1,1404,N/A,1.039,155134,-0.01,-0.07,-0.15,-0.15,-0.385,nan,-0.006
domraider,12 Sep 2017,9 Oct 2017,27,241,5,saas,33,67200000,67200000,1,0.12,356,2,152,0.62,-0.461,13888,0.02,0.09,1.36,1.36,-0.034,nan,0.006
matryx,13 Sep 2017,12 Oct 2017,29,238,1,saas,15,1984347,9019759,0.22,0.29,1533,1,109,0.22,1.498,1031,0.21,0.11,1.8,1.8,-0.223,nan,0.018
bitdegree,1 Dec 2017,29 Dec 2017,28,160,5,social services,22,22127834,22127834,1,0.08,16926,1,20212,0.72,5.711,693702,-0.2,0.05,0.79,0.79,-1.014,nan,0.01
rentberry,5 Dec 2017,28 Feb 2018,85,99,7,real estate,25,27500000,29891304,0.92,0.35,14692,9,19994,N/A,-0.806,294933,0.23,1.86,3.71,3.71,-0.408,nan,0.005
flixxo,24 Oct 2017,24 Nov 2017,31,195,10,saas,5,4731021,12130823,0.39,0.12,3719,2,6216,0.6,-0.038,106293,-0.04,0.17,2.66,2.66,0.063,nan,0.011
naviaddress,1 Mar 2018,31 Mar 2018,30,68,7,saas,6,16900000,20119048,0.84,0.05,99988,N/A,199,0.38,-0.518,194240,-0.51,-0.89,-1.77,-1.77,2.738,nan,-0.021
investfeed,23 Jul 2017,7 Aug 2017,15,304,1,saas,11,3400000,N/A,N/A,0,N/A,1,N/A,N/A,0,78892,0.1,0.1,1.55,1.55,-0.334,nan,0.011
patientory,31 May 2017,3 Jun 2017,3,369,1,saas,6,7200000,10285714,0.7,0.1,N/A,1,N/A,N/A,6.165,3256,0.08,0.09,1.41,1.41,-0.049,nan,0.007
playkey,1 Nov 2017,1 Dec 2017,30,188,2,entertainment,16,10512361,105123610,0.1,1.76,10010,3,9880,0.76,-0.682,9317,0.43,0.13,2.14,2.14,-0.214,nan,0.01
atn,27 Apr 2018,20 May 2018,23,18,12,saas,15,N/A,N/A,N/A,N/A,15490,N/A,4727,N/A,0,603047,0.18,-0.01,-0.09,-0.09,-0.052,nan,-0.004
golos,30 Oct 2016,02 Dec 2016,33,552,12,telecommunications,N/A,N/A,N/A,N/A,0.1,N/A,1,N/A,N/A,10.7,701,-0.08,-0.01,-0.14,-0.14,-0.106,nan,0.007
faceter,15 Feb 2018,30 Mar 2018,43,69,11,other,9,28610352,40871931,0.7,0.0349,2083,N/A,51,N/A,-0.43,135291,-0.37,-0.64,-1.28,-1.28,-1.579,nan,0
icos,15 Aug 2017,15 Sep 2017,31,265,2,blockchain,23,14600000,N/A,N/A,44.38,1821,3,5011,0.7,0.034,15683,0.1,0.05,0.76,0.76,-0.177,nan,0.002
nper,19 Jan 2018,31 Jan 2018,12,127,8,saas,15,N/A,N/A,N/A,0.2,N/A,1,6340,N/A,0.679,4371660,-0.23,-1.85,-3.7,-3.7,-0.475,nan,-0.022
hubii-network,17 Aug 2017,31 Aug 2017,14,280,7,telecommunications,15,7130256,50930400,0.14,0.39,1261,2,4607,N/A,-0.493,23209,0.18,0.13,2.06,2.06,0.185,nan,0.031
cargox,23 Jan 2018,4 Mar 2018,40,95,5,fintech,10,6766164,6975427,0.97,N/A,5716,1,4993,0.5,0,1317180,-0.06,-0.17,-2.62,-2.62,-0.283,nan,-0.006
encrypgen,1 Jun 2017,18 Jul 2017,47,324,1,saas,7,10000005,N/A,N/A,0.03,N/A,1,4664,N/A,0.928,22870,0.44,0.24,3.78,3.78,-0.128,nan,0.024
connectjob,12 Feb 2018,30 Apr 2018,77,38,7,saas,24,10437623,11997268,0.87,N/A,7817,5,6355,0.62,0,173329,-0.35,-2.76,-5.52,-5.52,0.116,nan,-0.01
spectiv,8 Dec 2017,31 Dec 2017,23,158,1,entertainment,8,7605767,10600000,0.72,0.5,N/A,2,3330,0.56,-0.966,118105,0.05,0.08,1.3,1.16,-0.12,0.271,0.011
coinfi,8 Feb 2018,18 Feb 2018,10,109,3,saas,15,15000000,15000000,1,0.15,19379,1,4941,N/A,1.384,21603900,-0.18,-0.16,-2.59,-2.59,-0.189,nan,-0.009
insurepal,16 Jan 2018,16 Jan 2018,0,142,5,saas,24,18000000,18000000,1,0.1,6468,7,6776,0.78,2.178,2442080,-0.2,-0.24,-3.87,-3.87,-0.234,nan,-0.013
snovio,30 Oct 2017,30 Nov 2017,31,189,2,fintech,13,2129106,10138600,0.21,0.01,19881,3,10459,0.44,-0.73,12041,0.48,0.23,3.71,3.71,0.032,nan,0.031
adbank,15 Dec 2017,14 Jan 2018,30,144,1,saas,5,13962900,13962900,1,0.05,6612,1,6131,0.64,-0.167,1033600,-0.14,-0.15,-2.44,-2.44,-0.303,nan,-0.004
commerceblock,28 Nov 2017,19 Dec 2017,21,170,4,fintech,7,8820470,25201343,0.35,0.06,1760,3,260,N/A,-0.338,85105,0.17,1.32,2.64,2.64,-0.842,nan,0.006
aidcoin,16 Jan 2018,1 Feb 2018,16,126,6,blockchain,36,18632900,18632900,1,0.52,4368,1,3122,N/A,0.545,1717320,-0.36,-0.23,-3.59,-3.59,-0.131,nan,-0.005
target-coin,15 Jul 2017,31 Aug 2017,47,280,12,blockchain,4,20711412,69038040,0.3,0.05,N/A,1,1625,0.4,-0.164,69996,0.03,0.09,1.46,1.46,-0.251,nan,0.021
bounty0x,1 Dec 2017,15 Dec 2017,14,174,12,saas,8,1602927,1602927,1,0.04,6775,1,14519,N/A,0.899,1059090,0.37,0.13,2.06,2.06,0.684,nan,0.014
bezop,20 Dec 2017,10 Jan 2018,21,148,12,other,4,N/A,N/A,N/A,N/A,6597,1,N/A,0.22,0,281984,0.09,0.03,0.54,0.54,-0.266,nan,0.016
wetrust,2 Mar 2017,14 Apr 2017,43,419,1,saas,9,4978366,N/A,N/A,0.06,N/A,1,10,N/A,0.305,165713,0.24,0.2,3.11,3.03,-0.029,-0.606,0.008
mysterium,30 May 2017,30 May 2017,0,373,1,saas,8,13325693,N/A,N/A,0.89,2678,1,11960,N/A,1.461,1632900,-0.13,0.03,0.43,0.43,-0.261,nan,0.002
jet8,28 Feb 2018,14 Mar 2018,14,85,7,telecommunications,51,32700000,35934066,0.91,0.0974,29228,1,2064,N/A,-0.683,871036,-0.47,-0.03,-0.4,-0.4,0.377,nan,-0.002
fidelium,26 Feb 2018,26 Mar 2018,28,73,1,fintech,18,10000000,47619048,0.21,-0.07,N/A,1,2462,0.36,-4.111,76937,-0.05,-0.37,-0.75,-0.75,-0.161,nan,-0.019
devery,18 Jan 2018,19 Jan 2018,1,139,12,ecommerce,6,10000000,10000000,1,0.19,5265,4,2828,0.24,0.741,862413,-0.27,-0.13,-2.03,-2.03,0.287,nan,0.002
worldcore,14 Oct 2017,15 Dec 2017,62,174,5,saas,14,25000000,100000000,0.25,0.1,3055,8,N/A,0.52,0.146,151573,0.41,0.14,2.23,2.23,0.072,nan,0.003
ink-protocol,01 Feb 2018,28 Feb 2018,27,99,1,other,14,15000000,15000000,1,0.13,10279,N/A,4917,0.42,-0.303,280064,-0.21,-0.04,-0.66,-0.66,-0.226,nan,-0.005
lendingblock,15 Apr 2018,22 Apr 2018,7,46,4,blockchain,6,10000000,10000000,1,0.02,7676,5,6160,0.4,0.548,458040,-0.24,-1.88,-3.76,-3.76,-0.435,nan,-0.025
eroscoin,11 Oct 2017,15 Nov 2017,35,204,12,other,7,N/A,N/A,N/A,0.05,N/A,1,N/A,0.42,1.938,8548340,0.08,-0.07,-1.15,-1.22,0.01,-1.757,-0.003
dovu,3 Oct 2017,17 Oct 2017,14,233,4,saas,6,6644682,28889922,0.23,0.11,129,2,N/A,0.54,-0.169,106502,0.09,0.14,2.24,2.24,0.297,nan,0.013
helbiz,15 Feb 2018,4 Mar 2018,17,95,7,fintech,13,38646754,N/A,N/A,N/A,2110,1,39996,0.44,0,756160,0.16,1.31,2.61,2.61,0.493,nan,0.023
adshares,7 Jul 2017,12 Jan 2018,189,146,12,fintech,2,11900000,N/A,N/A,5.26,1131,1,2244,0.3,-0.927,7590,0.19,0.09,1.48,1.48,-0.025,nan,0.017
ip-exchange,28 Feb 2018,05 Mar 2018,5,94,12,other,N/A,7904319,9299199,0.85,0.0122,6363,N/A,N/A,0.48,-0.483,539393,0.11,0.07,1.08,1.08,0.163,nan,0.008
alis,1 Sep 2017,1 Oct 2017,30,249,8,saas,5,3705000,37050000,0.1,0.15,N/A,1,1752,0.6,0.413,337890,0.2,0.18,2.92,2.92,-0.103,nan,0.008
sportyco,21 Nov 2017,8 Dec 2017,17,181,5,fintech,19,5087896,15899675,0.32,0.12,12314,1,8893,N/A,0.812,31692,0,0.07,1.16,1.16,0.086,nan,0.001
aventus,6 Sep 2017,6 Sep 2017,0,274,4,entertainment,7,18780000,18780000,1,3.66,261,1,N/A,0.6,0.202,950718,-0.32,-0.01,-0.18,-0.18,0.08,nan,0.001
biocoin,1 Nov 2017,18 Feb 2018,109,109,2,other,18,16000000,16000000,1,16,323,5,1257,0.38,-0.999,41016,-0.11,-0.18,-2.92,-2.92,0.098,nan,-0.002
bitcrystals,4 Aug 2015,3 Sep 2015,30,1008,6,blockchain,7,20510,146500,0.14,0.02,N/A,4,6114,N/A,-0.131,5586,-0.06,0.09,1.43,1.43,-0.067,nan,0.007
atbcoin,15 Jul 2017,13 Sep 2017,60,267,12,other,N/A,20400000,N/A,N/A,0.9,2182,3,N/A,0.66,0.289,558166,-0.08,-0.02,-0.26,-0.26,-0.08,nan,-0.001
b2bx,2 Oct 2017,17 Nov 2017,46,202,2,saas,22,8078602,29920748,0.27,0.74,1947,7,3948,N/A,1.378,144393,-0.29,0.02,0.3,0.3,-0.261,nan,0.016
clearpoll,2 Oct 2017,26 Oct 2017,24,224,9,saas,9,N/A,1300000,N/A,0.13,908,2,120213,N/A,2.341,94539,-0.13,0.19,3.04,3.04,-0.141,nan,0.014
leverj,7 Nov 2017,7 Dec 2017,30,182,12,saas,6,13049080,50188769,0.26,0.15,3615,1,5051,0.6,0.817,47085,-0.14,-0.14,-2.28,-2.28,-0.013,nan,-0.004
insights-network,28 Jan 2018,14 Feb 2018,17,113,7,blockchain,3,17376260,17376260,1,0.15,20768,0,N/A,0.3,-0.051,693393,-0.33,-0.04,-0.71,-0.71,-0.07,nan,-0.008
privatix,19 Oct 2017,16 Nov 2017,28,203,12,saas,16,2391939,14949619,0.16,3.3,1934,3,707,0.48,-0.055,99333,0.11,0.15,2.41,2.41,-0.132,nan,0.025
leadcoin,1 Mar 2018,11 Mar 2018,10,88,7,fintech,17,50000000,50000000,1,N/A,12349,2,1469,0.36,0,6963540,-0.02,0,0,0,-0.227,nan,-0.008
fundrequest,20 Nov 2017,01 Dec 2017,11,188,5,blockchain,11,12121040,14964247,0.81,0.48,11473,0,13049,0.54,-0.491,55032,-2,-3.46,-6.92,-6.92,1.007,nan,-0.022
linker-coin,25 Nov 2017,31 Dec 2017,36,158,6,blockchain,20,10133235,10133235,1,0.22,2255,N/A,N/A,N/A,-0.588,164191,0.02,0.18,0.36,0.36,-0.243,nan,-0.004
bigbom,28 May 2018,10 Jun 2018,13,-3,12,saas,13,6792000,6792000,1,0.0283,39478,N/A,N/A,0.72,-0.25,972645,1.17,2.03,4.06,4.06,-0.429,nan,0.063
publica,1 Nov 2017,16 Nov 2017,15,203,1,saas,21,1046210,1046210,1,0.1,1464,3,2292,N/A,1.547,1317120,-0.07,0.18,2.82,2.82,-0.048,nan,0.011
bitdice,15 Aug 2017,15 Sep 2017,31,265,10,other,1,8748793,24996551,0.35,0.1,735,3,3512,N/A,0.495,60084,0.1,0.18,2.83,2.83,-0.144,nan,0.005
aditus,30 Nov 2017,19 Dec 2017,19,170,7,saas,15,7100193,22188103,0.32,0.05,13420,1,N/A,0.44,-0.735,300285,0.4,3.16,6.32,6.32,0.179,nan,0.024
payfair,1 Nov 2017,30 Nov 2017,29,189,2,saas,8,18291,N/A,N/A,0,2764,5,2336,0.32,0,41498,0.16,0.22,3.56,3.56,0.678,nan,0.029
auctus,10 Apr 2018,20 Apr 2018,10,48,7,blockchain,12,3865575,3904621,0.99,0.28,8578,3,9760,0.72,1.642,1413630,0.16,1.29,2.59,2.59,0.171,nan,-0.006
invacio,12 Mar 2018,30 Apr 2018,49,38,4,fintech,15,1912074,31867900,0.06,1,881,0,4178,0.3,-0.857,336316,-0.4,-0.7,-1.4,-1.4,-0.556,nan,-0.024
peculium,21 Dec 2017,24 Jan 2018,34,134,5,fintech,52,9917634,9917634,1,0.01,N/A,3,16227,0.64,-0.583,69616,0,0.05,0.78,0.78,0.106,nan,0.008
tokia,4 Dec 2017,15 Mar 2018,101,84,4,fintech,7,30000000,N/A,N/A,1,8243,0,1640,0.5,-0.813,641864,0.26,0.45,0.9,0.9,-2.79,nan,-0.005
