coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,beta_top10
lunyr,29 Mar 2017,28 Apr 2017,30.0,401.0,1,saas,3,3400000.0,N/A,N/A,1.61,N/A,0,33531,N/A,N/A,0.59,309766,0.07,0.08,1.22,1.22,-0.21,-4.5
etherparty,1 Oct 2017,29 Oct 2017,28.0,217.0,1,blockchain,26,33000000.0,N/A,N/A,0.1,6072,0,2,0.68,N/A,-0.565,180346,0.13,0.24,3.75,3.75,0.022,-12.0
yoyow,21 May 2017,24 May 2017,3.0,375.0,3,saas,N/A,4364760.0,N/A,0.3,0.02,3287,0,N/A,N/A,N/A,5.154,8194,-0.04,-0.01,-0.09,-0.09,-0.003,-4.5
decent,11 Sep 2016,6 Nov 2016,56.0,574.0,6,telecommunications,31,15000000.0,N/A,N/A,N/A,N/A,0,29919,N/A,N/A,0.0,121,0.2,0.17,2.72,2.72,0.155,-4.5
cashaa,6 Nov 2017,6 Dec 2017,30.0,179.0,4,fintech,11,18530000.0,N/A,N/A,0.1,7579,0,388,0.58,N/A,0.182,34753,-0.23,-0.13,-2.14,-2.14,0.198,10.5
universa,27 Oct 2017,27 Nov 2017,31.0,188.0,2,saas,25,28800000.0,99000000.0,0.29,0.01,14255,0,1124,0.62,N/A,4.161,763454,-0.49,-0.13,-1.99,-1.99,-0.294,-6.5
odem,17 Feb 2018,18 Mar 2018,29.0,77.0,6,social services,12,4000000.0,N/A,N/A,N/A,N/A,0,3098,N/A,N/A,0.0,18548,0.47,3.75,7.5,7.5,0.469,-0.5
taas,27 Mar 2017,28 Apr 2017,32.0,401.0,7,fintech,4,7500000.0,N/A,0.74,1.0,N/A,0,141,N/A,N/A,-0.18,1571,0.08,0.22,3.54,3.54,0.054,-7.0
cobinhood,13 Sep 2017,22 Oct 2017,39.0,224.0,12,blockchain,5,13200000.0,N/A,N/A,0.07,12266,0,45237,0.2,N/A,-0.262,41446,0.22,0.25,3.91,3.91,0.157,-9.0
alphacat,12 Jan 2018,12 Jan 2018,0.0,142.0,12,fintech,N/A,N/A,N/A,N/A,N/A,8663,0,N/A,N/A,N/A,0.0,474748,-0.19,-0.07,-1.14,-1.14,-0.091,2.0
coss,8 Aug 2017,6 Sep 2017,29.0,270.0,7,saas,24,3200000.0,N/A,N/A,0.56,N/A,0,197,0.48,N/A,-0.919,116130,0.39,0.12,1.9,1.9,0.093,3.0
melon,15 Feb 2017,16 Feb 2017,1.0,472.0,6,other,2,N/A,N/A,N/A,N/A,42,0,N/A,N/A,N/A,0.0,57957,0.21,0.07,1.13,1.13,-0.098,-3.5
datum,29 Oct 2017,29 Nov 2017,31.0,186.0,6,saas,19,7200000.0,N/A,N/A,0.02,7966,0,36502,0.34,N/A,0.397,160521,0.6,0.18,2.92,2.92,-0.116,-5.0
viberate,5 Sep 2017,5 Sep 2017,0.0,271.0,5,entertainment,34,10714285.0,N/A,1.0,0.1,5606,0,32874,0.56,N/A,1.75,1490480,-0.19,-0.08,-1.24,-1.24,-0.157,-6.5
medicalchain,1 Feb 2018,1 Feb 2018,0.0,124.0,4,insurance services,10,23991953.0,24000000.0,1.0,0.2,26990,11,15703,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.107
refereum,12 Feb 2018,12 Mar 2018,28.0,83.0,1,saas,14,40000000.0,N/A,N/A,0.01,99846,0,54068,0.32,N/A,1.043,1161020,-0.26,-0.04,-0.56,-0.56,0.032,-4.5
propy,15 Aug 2017,15 Sep 2017,31.0,261.0,1,real estate,11,15077000.0,N/A,0.15,1.0,N/A,0,N/A,0.98,N/A,-0.255,26854,-0.1,-0.03,-0.52,-0.52,-0.048,-3.5
humaniq,6 Apr 2017,27 Apr 2017,21.0,402.0,4,saas,19,5163000.0,N/A,N/A,0.06,N/A,0,30580,N/A,N/A,0.178,420384,0.19,0.13,2.0,2.0,0.038,-1.0
bloom,30 Nov 2017,1 Jan 2018,32.0,155.0,1,saas,11,41420705.0,80500000.0,0.51,0.7,13588,4,440,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.847
firstblood,25 Sep 2016,26 Sep 2016,1.0,615.0,1,blockchain,13,5500000.0,N/A,N/A,0.08,14,0,31584,N/A,N/A,0.991,1255030,-0.2,-0.23,-3.61,-3.61,0.127,-6.0
bankex,28 Nov 2017,28 Dec 2017,30.0,157.0,1,fintech,9,70600000.0,140000.0,1.0,1.47,6275,0,7662,0.82,N/A,0.932,371912,-0.43,-0.22,-3.5,-3.5,-0.125,-5.5
stk,31 Jan 2018,14 Feb 2018,14.0,109.0,1,blockchain,16,17000000.0,N/A,N/A,0.2,7273,0,10033,N/A,N/A,0.262,12919500,-0.23,-0.23,-3.68,-3.68,-0.296,-11.0
mothership,7 Jul 2017,21 Jul 2017,14.0,317.0,5,saas,10,5406897.0,N/A,0.7,0.04,N/A,0,484,0.6,N/A,0.006,88727,0.49,0.24,3.74,3.74,-0.054,-3.0
stox,2 Aug 2017,4 Aug 2017,2.0,303.0,7,fintech,20,33000000.0,N/A,1.0,1.1,8984,0,13618,0.48,N/A,0.1,1294120,0.4,0.04,0.7,0.7,-0.088,-5.5
hive-project,3 Jul 2017,14 Aug 2017,42.0,293.0,5,fintech,18,8949421.0,N/A,N/A,0.02,N/A,0,3043,0.82,N/A,0.045,216,0.17,0.12,1.84,1.84,-0.045,-11.0
suncontract,28 Jun 2017,1 Aug 2017,34.0,306.0,5,energy,31,2000000.0,N/A,N/A,0.02,2,0,15081,0.76,N/A,1.128,35660,0.05,0.14,2.3,2.3,0.089,-6.5
cofound.it,31 May 2017,07 Jun 2017,7.0,370.0,5,fintech,9,14820030.0,12500000.0,1.0,0.12,1093,6,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.5
synereo,18 Sep 2016,18 Oct 2016,30.0,593.0,12,saas,0,4700000.0,38.0,1.0,0.19,N/A,0,26675,N/A,N/A,-0.988,241,0.23,0.24,3.83,3.83,-0.096,-7.0
adtoken,26 Jun 2017,26 Jun 2017,0.0,342.0,12,saas,N/A,10000000.0,N/A,N/A,0.02,N/A,0,6576,N/A,N/A,2.26,334,-0.07,0.05,0.87,0.87,-0.239,-4.0
everex,24 Jul 2017,31 Aug 2017,38.0,276.0,7,fintech,9,26700000.0,N/A,N/A,2.13,4651,0,14027,N/A,N/A,-0.103,1389230,0.12,0.04,0.62,0.62,0.108,-4.0
sentinel-chain,1 Mar 2018,10 Mar 2018,9.0,85.0,7,fintech,23,14400000.0,14400000.0,1.0,0.08,9410,0,4032,0.36,N/A,-0.184,1945280,0.52,4.14,8.29,8.29,-0.094,-7.0
chronobank,15 Dec 2016,15 Feb 2017,62.0,473.0,2,saas,1,5400000.0,N/A,N/A,10.0,N/A,0,19791,N/A,N/A,-0.06,42133,-0.26,0.03,0.44,0.44,-0.153,-68.5
lamden,1 Dec 2017,3 Jan 2018,33.0,151.0,6,fintech,15,10000000.0,10000000.0,1.0,0.091,9198,0,N/A,0.36,N/A,6.346,937600,0.03,-0.05,-0.83,-0.83,-0.338,-17.0
karma,29 Nov 2017,15 Dec 2017,16.0,170.0,2,fintech,15,10000000.0,10000000.0,1.0,0.01,1226,0,4208,0.44,N/A,5.911,150439,-0.01,-0.17,-2.67,-2.67,-0.365,21.0
dmarket,14 Nov 2017,01 Dec 2017,17.0,184.0,2,entertainment,4,19069000.0,N/A,N/A,0.18,1127,0,7220,0.68,N/A,4.398,18992,-0.03,0.06,1.02,1.02,0.118,-3.0
polybius,31 May 2017,30 Jun 2017,30.0,338.0,5,fintech,11,31000000.0,N/A,0.15,10.0,3547,0,9,N/A,N/A,-0.192,506294,-0.02,0.07,1.03,1.03,-0.364,-4.5
unibright,20 Apr 2018,20 May 2018,30.0,14.0,5,fintech,13,12604551.0,13542375.0,0.93,0.14,10419,0,5243,0.24,N/A,0.384,2400200,-0.72,-1.24,-2.49,-2.49,-1.284,-10.0
morpheus-network,22 Mar 2018,22 Apr 2018,31.0,42.0,12,other,12,7500000.0,18000000.0,0.42,0.5,11928,0,5621,0.64,N/A,-0.193,193829,1.14,1.97,3.94,3.94,0.01,3.5
dadi,29 Jan 2018,29 Jan 2018,0.0,125.0,4,fintech,15,28750000.0,28750000.0,1.0,0.5,22236,0,30927,0.38,N/A,-0.112,2381560,-0.21,-0.05,-0.8,-0.8,0.025,-3.5
monetha,31 Aug 2017,31 Aug 2017,0.0,276.0,5,fintech,11,37000000.0,N/A,1.0,0.19,4658,0,18938,0.68,N/A,0.502,2743890,-0.15,-0.11,-1.76,-1.76,-0.165,-4.5
aeron,19 Sep 2017,30 Oct 2017,41.0,216.0,10,transportation,11,56888532.0,N/A,N/A,0.5,19721,0,29747,0.5,N/A,-0.189,8757,0.13,0.16,2.58,2.58,0.116,-7.5
matchpool,2 Apr 2017,4 Apr 2017,2.0,427.0,12,saas,7,5800000.0,N/A,N/A,0.1,2218,12,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.393
agrello,16 Jul 2017,17 Aug 2017,32.0,292.0,5,saas,13,30100000.0,43200000.0,0.7,0.56,4819,2,14799,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.107
maecenas,7 Sep 2017,8 Oct 2017,31.0,238.0,4,saas,8,15750000.0,N/A,N/A,0.64,N/A,0,2275,0.38,N/A,-0.279,11868,0.09,0.17,2.68,2.68,-0.231,-18.5
daostack,01 May 2018,07 Jun 2018,37.0,-4.0,7,transportation,9,8000000.0,30000000.0,0.27,1.0,24392,0,5712,0.32,N/A,0.31,1927100,-0.36,-2.88,-5.75,-5.75,0.458,-8.5
uptoken,16 Oct 2017,15 Dec 2017,60.0,170.0,1,fintech,9,18934021.0,100000000.0,0.19,0.1,21,0,3025,N/A,N/A,2.021,21597500,-0.43,-0.08,-1.21,-1.21,0.819,-3.5
dimcoin,1 Jul 2017,27 Aug 2017,57.0,280.0,11,fintech,N/A,14005746.0,N/A,N/A,0.01,3081,0,N/A,0.68,N/A,23.562,1409400,-0.49,-0.22,-3.44,-3.44,0.118,-1.5
bitclave,29 Nov 2017,29 Nov 2017,0.0,186.0,1,saas,19,25500000.0,25500000.0,1.0,0.1,7053,0,22627,0.66,N/A,0.505,957302,0.12,-0.01,-0.23,-0.23,-0.005,-2.5
blocktix,7 Jul 2017,25 Jul 2017,18.0,313.0,5,entertainment,7,6981328.0,7500000.0,0.93,0.24,N/A,0,5965,N/A,N/A,-0.174,11878,0.29,0.07,1.17,1.17,0.052,-5.0
incent,1 Sep 2016,1 Sep 2016,0.0,640.0,9,blockchain,7,1000000.0,N/A,N/A,0.1,N/A,0,13232,N/A,N/A,-0.918,43,0.22,0.14,2.19,2.19,-0.027,0.5
cappasity,22 Feb 2018,22 Mar 2018,28.0,73.0,1,saas,5,2301451.0,20000000.0,0.12,0.01,58839,0,37586,0.62,N/A,2.315,887638,0.12,0.17,2.68,2.68,0.469,-3.0
peerplays,26 Feb 2017,14 May 2017,77.0,385.0,1,entertainment,7,5000000.0,N/A,N/A,4.6,1441,0,5443,N/A,N/A,1.446,10275,0.25,0.07,1.13,1.13,-0.347,29.0
carvertical,26 Dec 2017,4 Apr 2018,99.0,60.0,5,saas,20,6256586.0,N/A,N/A,0.0055,13365,0,N/A,N/A,N/A,1.65,451064,-0.05,-0.07,-1.18,-1.18,-0.734,-4.0
sharder,22 Feb 2018,22 Mar 2018,28.0,73.0,12,other,N/A,N/A,N/A,N/A,0.044,10639,0,N/A,0.26,N/A,1.315,3209300,-0.17,-1.36,-2.71,-2.71,-0.422,-3.0
envion,15 Dec 2017,14 Jan 2018,30.0,140.0,6,blockchain,12,10001227.0,105000000.0,0.1,1.0,22288,0,21263,0.66,N/A,-0.036,168394,-0.22,-0.13,-2.0,-2.0,-0.294,-4.0
lala-world,5 Jan 2018,5 Feb 2018,31.0,118.0,7,saas,5,20000000.0,N/A,N/A,0.13,824,0,10035,0.34,N/A,-0.253,28433,-0.44,0.0,0.04,0.04,0.225,-5.5
indahash,29 Nov 2017,20 Dec 2017,21.0,165.0,5,saas,15,42000000.0,76800000.0,0.55,0.24,11698,0,9842,0.84,N/A,1.561,3113160,-0.2,-0.11,-1.73,-1.73,-0.327,-11.0
covesting,24 Nov 2017,15 Jan 2018,52.0,139.0,7,saas,12,33241750.0,N/A,N/A,2.56,8956,0,10107,0.82,N/A,0.207,328108,-0.21,-0.12,-1.95,-1.95,-0.247,-4.5
sureremit,10 Jan 2018,10 Feb 2018,31.0,113.0,1,saas,11,10000000.0,10000000.0,1.0,1.0,2052,0,4417,0.34,N/A,-0.963,35294,-0.22,0.02,0.31,0.31,-0.559,-6.0
selfkey,14 Jan 2018,14 Jan 2018,0.0,140.0,7,fintech,48,21780000.0,21780000.0,1.0,0.02,11338,0,0,0.74,N/A,2.327,31248100,-0.52,-0.26,-4.06,-4.06,-0.261,-2.5
blockport,27 Jan 2018,31 Jan 2018,4.0,127.0,12,other,N/A,15000000.0,N/A,N/A,N/A,28427,0,N/A,0.42,N/A,0.0,1024180,-0.0,0.07,1.04,1.04,-0.183,4.5
coinpoker,19 Jan 2018,26 Jan 2018,7.0,128.0,7,entertainment,15,52712179.0,N/A,N/A,0.05,4876,0,5219,0.86,N/A,0.95,350963,-0.38,-0.01,-0.18,-0.18,-0.515,3.0
quantum,15 Apr 2017,15 May 2017,30.0,384.0,5,blockchain,5,4122700.0,N/A,N/A,0.05,N/A,0,9193,N/A,N/A,5.732,136233,0.19,0.06,0.93,0.93,-0.076,-8.5
hubii-network,17 Aug 2017,31 Aug 2017,14.0,276.0,7,other,15,6500000.0,N/A,N/A,N/A,N/A,0,4596,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lendingblock,15 Apr 2018,22 Apr 2018,7.0,42.0,4,blockchain,6,10000000.0,10000000.0,1.0,0.02,7743,0,6107,0.4,N/A,0.548,458040,-0.24,-1.88,-3.76,-3.76,-0.497,-6.5
wetrust,2 Mar 2017,14 Apr 2017,43.0,417.0,1,saas,9,4978366.0,N/A,N/A,0.06,N/A,5,10,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.261
bounty0x,1 Dec 2017,15 Dec 2017,14.0,170.0,12,saas,8,N/A,10000000.0,N/A,0.04,N/A,0,14472,N/A,N/A,0.899,1059090,0.37,0.13,2.06,2.06,0.689,-6.0
investfeed,23 Jul 2017,7 Aug 2017,15.0,300.0,1,saas,11,3400000.0,N/A,N/A,0.0,N/A,0,N/A,N/A,N/A,0.0,78892,0.1,0.1,1.55,1.55,-0.331,-3.0
worldcore,14 Oct 2017,15 Dec 2017,62.0,170.0,5,saas,14,25000000.0,100000000.0,0.25,0.1,3034,0,N/A,0.52,N/A,0.146,151573,0.41,0.14,2.23,2.23,0.08,-5.0
leadcoin,1 Mar 2018,11 Mar 2018,10.0,84.0,7,fintech,17,50000000.0,50000000.0,1.0,0.08,11596,0,1385,0.36,N/A,0.487,6963540,-0.02,-0.0,-0.0,-0.0,-0.215,-8.5
encrypgen,1 Jun 2017,18 Jul 2017,47.0,320.0,1,saas,7,10000005.0,N/A,N/A,0.03,N/A,0,4634,N/A,N/A,0.928,22870,0.44,0.24,3.78,3.78,-0.123,-11.5
mysterium,30 May 2017,30 May 2017,0.0,369.0,1,saas,8,13325693.0,N/A,N/A,0.89,2660,0,11968,N/A,N/A,1.461,1632900,-0.13,0.03,0.43,0.43,-0.259,-4.5
ip-exchange,28 Feb 2018,05 Mar 2018,5.0,90.0,12,saas,N/A,7904000.0,N/A,N/A,N/A,6390,0,N/A,0.48,N/A,0.0,539393,0.11,0.07,1.08,1.08,0.169,-1.5
helbiz,15 Feb 2018,4 Mar 2018,17.0,91.0,7,fintech,13,38646754.0,N/A,N/A,0.14,2106,0,37312,0.44,N/A,-0.907,756160,0.16,1.31,2.61,2.61,0.606,-8.5
aventus,6 Sep 2017,6 Sep 2017,0.0,270.0,4,entertainment,7,18780000.0,18800000.0,1.0,3.66,255,0,N/A,0.6,N/A,0.202,950718,-0.32,-0.01,-0.18,-0.18,0.081,-4.0
dovu,3 Oct 2017,17 Oct 2017,14.0,229.0,4,saas,6,6644682.0,28400000.0,0.23,0.11,125,0,N/A,0.54,N/A,-0.169,106502,0.09,0.14,2.24,2.24,0.303,-12.5
aidcoin,16 Jan 2018,1 Feb 2018,16.0,122.0,6,blockchain,36,18632900.0,18600000.0,1.0,0.65,4385,0,3101,N/A,N/A,0.236,1717320,-0.36,-0.23,-3.59,-3.59,-0.128,0.0
spectiv,8 Dec 2017,31 Dec 2017,23.0,156.0,1,entertainment,8,7605767.0,10600000.0,0.72,0.5,N/A,4,3278,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-5.477
connectjob,12 Feb 2018,30 Apr 2018,77.0,34.0,7,saas,24,10437623.0,12000000.0,0.87,0.25,7852,0,6378,0.62,N/A,-0.604,173329,-0.35,-2.76,-5.52,-5.52,0.074,-7.0
adshares,7 Jul 2017,12 Jan 2018,189.0,142.0,12,fintech,2,11900000.0,N/A,N/A,5.26,1130,0,2245,0.3,N/A,-0.927,7590,0.19,0.09,1.48,1.48,-0.028,-11.0
atbcoin,15 Jul 2017,13 Sep 2017,60.0,263.0,12,other,N/A,20400000.0,N/A,N/A,0.9,2156,0,N/A,0.66,N/A,0.289,558166,-0.08,-0.02,-0.26,-0.26,-0.078,-0.5
ink-protocol,01 Feb 2018,28 Feb 2018,27.0,95.0,1,blockchain,14,15000000.0,15000000.0,1.0,0.13,10353,0,N/A,0.42,N/A,-0.303,280064,-0.21,-0.04,-0.66,-0.66,-0.141,-0.5
alis,1 Sep 2017,1 Oct 2017,30.0,245.0,8,saas,5,3705000.0,35600000.0,0.1,0.15,N/A,0,1753,0.6,N/A,0.413,337890,0.2,0.18,2.92,2.92,-0.1,-4.0
insights-network,28 Jan 2018,14 Feb 2018,17.0,109.0,7,blockchain,3,17376260.0,17400000.0,1.0,0.15,20936,0,N/A,0.3,N/A,-0.051,693393,-0.33,-0.04,-0.71,-0.71,-0.076,-5.5
eroscoin,11 Oct 2017,15 Nov 2017,35.0,202.0,12,other,7,N/A,N/A,N/A,0.05,N/A,3,N/A,1.938,8548340,0.08,-0.07,-1.15,-1.22,0.011,-1.759,-0.003,-4.818
commerceblock,28 Nov 2017,19 Dec 2017,21.0,166.0,4,fintech,7,8820470.0,25000000.0,0.35,0.06,1770,0,260,N/A,N/A,-0.338,85105,0.17,1.32,2.64,2.64,-0.738,-6.5
bitcrystals,4 Aug 2015,3 Sep 2015,30.0,1004.0,6,blockchain,7,20510.0,N/A,0.14,0.02,N/A,0,6102,N/A,N/A,-0.131,5586,-0.06,0.09,1.43,1.43,-0.066,-5.0
target-coin,15 Jul 2017,31 Aug 2017,47.0,276.0,12,blockchain,4,20711412.0,N/A,0.3,0.05,N/A,0,1625,0.4,N/A,-0.164,69996,0.03,0.09,1.46,1.46,-0.24,5.0
sportyco,21 Nov 2017,8 Dec 2017,17.0,177.0,5,fintech,19,5087896.0,16000000.0,0.32,0.12,12370,0,8910,N/A,N/A,0.812,31692,0.0,0.07,1.16,1.16,0.086,-11.0
airtoken,19 Sep 2017,19 Oct 2017,30.0,227.0,1,telecommunications,14,15000000.0,15000000.0,1.0,0.02,837,0,6303,0.72,N/A,-0.313,303295,-0.25,0.02,0.38,0.38,0.03,5.0
linker-coin,25 Nov 2017,31 Dec 2017,36.0,154.0,6,blockchain,20,10133235.0,10100000.0,1.0,0.22,2255,0,N/A,N/A,N/A,-0.588,164191,0.02,0.18,0.36,0.36,-0.098,-11.5
peculium,21 Dec 2017,24 Jan 2018,34.0,130.0,5,fintech,52,9917634.0,2000000.0,1.0,0.01,N/A,0,16197,0.64,N/A,-0.583,69616,0.0,0.05,0.78,0.78,0.152,6.0
travelflex,13 Dec 2017,11 Jan 2018,29.0,143.0,12,other,N/A,N/A,N/A,N/A,0.28,104,0,N/A,0.5,N/A,-0.267,29538,-0.18,-0.03,-0.52,-0.52,-0.064,-2.0
bitdice,15 Aug 2017,15 Sep 2017,31.0,261.0,10,other,1,8748793.0,25000000.0,0.35,0.1,737,0,3499,N/A,N/A,0.495,60084,0.1,0.18,2.83,2.83,-0.136,13.5
payfair,1 Nov 2017,30 Nov 2017,29.0,185.0,2,saas,8,18291.0,N/A,N/A,0.0,2762,0,2331,0.32,N/A,0.0,41498,0.16,0.22,3.56,3.56,0.668,-15.0
fidentiax,6 Nov 2017,5 Dec 2017,29.0,180.0,7,saas,8,1566283.0,2900000.0,0.54,0.93,2482,0,3906,0.22,N/A,-0.701,77268,0.26,0.07,1.06,1.06,-0.217,3.0
biocoin,1 Nov 2017,18 Feb 2018,109.0,105.0,2,other,18,16000000.0,15000000.0,1.0,16.0,324,0,1258,0.38,N/A,-0.999,41016,-0.11,-0.18,-2.92,-2.92,0.079,-3.0
jet8,28 Feb 2018,14 Mar 2018,14.0,81.0,7,telecommunications,51,32700000.0,36000000.0,0.91,0.0974,29449,0,2057,N/A,N/A,-0.683,871036,-0.47,-0.03,-0.4,-0.4,0.415,-6.5
privatix,19 Oct 2017,16 Nov 2017,28.0,199.0,12,saas,16,2391939.0,15000000.0,0.16,3.3,1934,0,706,0.48,N/A,-0.055,99333,0.11,0.15,2.41,2.41,-0.128,0.5
publica,1 Nov 2017,16 Nov 2017,15.0,199.0,1,saas,21,1046210.0,1000000.0,1.0,0.1,1517,0,2273,N/A,N/A,1.547,1317120,-0.07,0.18,2.82,2.82,-0.038,-6.5
fintrux-network,07 Feb 2018,28 Feb 2018,21.0,95.0,7,other,6,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,102017,-0.04,-0.35,-0.69,-0.69,0.229,12.0
fundrequest,20 Nov 2017,01 Dec 2017,11.0,184.0,5,blockchain,11,12121040.0,15000000.0,0.81,0.48,11577,0,13058,0.54,N/A,-0.491,55032,-2.4,-4.16,-8.32,-8.32,0.849,2.5
aditus,30 Nov 2017,19 Dec 2017,19.0,166.0,7,saas,15,7100193.0,22500000.0,0.32,0.05,13525,0,N/A,0.44,N/A,-0.735,300285,0.4,3.16,6.32,6.32,0.282,-7.0
amlt,11 Dec 2017,29 Jan 2018,49.0,125.0,12,blockchain,18,19042042.0,16000000.0,1.0,0.39,4962,0,6591,0.38,N/A,-0.798,263017,-0.16,-0.01,-0.1,-0.1,0.026,-7.5
clearcoin,16 Nov 2017,31 Mar 2018,135.0,64.0,1,other,17,4350000.0,N/A,N/A,0.01,25175,0,N/A,0.52,N/A,0.551,93524,0.07,0.54,1.08,1.08,0.472,-0.5
clearpoll,2 Oct 2017,26 Oct 2017,24.0,220.0,9,saas,9,N/A,1300000.0,N/A,0.13,890,0,120127,N/A,N/A,2.341,94539,-0.13,0.19,3.04,3.04,-0.129,-3.0
adhive,28 Feb 2018,14 Mar 2018,14.0,81.0,5,entertainment,17,17491749.0,17500000.0,1.0,0.17,16166,0,5535,0.82,N/A,-0.675,772548,0.12,0.93,1.86,1.86,-1.431,-3.0
real,31 Aug 2017,30 Sep 2017,30.0,246.0,7,real estate,4,10604571.0,33000000.0,0.32,1.38,2014,0,4500,0.52,N/A,-0.268,13785,0.0,-0.02,-0.34,-0.34,0.105,-5.0
b2bx,2 Oct 2017,17 Nov 2017,46.0,198.0,2,saas,22,8078602.0,29500000.0,0.27,0.74,1971,0,3959,N/A,N/A,1.378,144393,-0.29,0.02,0.3,0.3,-0.252,-18.5
viuly,1 Nov 2017,15 Nov 2017,14.0,200.0,5,entertainment,3,N/A,30000000.0,N/A,0.17,6625,0,6230,0.74,N/A,-0.967,14913,0.32,0.25,4.03,4.03,0.119,-6.0
voise,6 May 2017,6 Jun 2017,31.0,362.0,5,saas,N/A,64651.0,N/A,N/A,N/A,9055,0,23937,N/A,N/A,0.0,3629,0.29,0.2,3.11,3.11,-2.08,41.5
auctus,10 Apr 2018,20 Apr 2018,10.0,44.0,7,blockchain,12,3865575.0,3900000.0,0.99,0.28,8626,0,9707,0.72,N/A,1.642,1413630,0.16,1.29,2.59,2.59,0.121,-12.0
1world,5 Oct 2017,6 Nov 2017,32.0,209.0,1,blockchain,66,5000000.0,N/A,N/A,1.2,6943,0,7395,0.42,N/A,-0.657,357311,-0.08,-0.01,-0.12,-0.12,-0.223,6.5
zrcoin,11 May 2017,9 Jun 2017,29.0,359.0,2,blockchain,11,7000000.0,N/A,N/A,1.55,931,0,N/A,N/A,N/A,47.348,2303,0.08,0.03,0.5,0.5,-0.097,-3.5
opus,24 Jul 2017,24 Aug 2017,31.0,283.0,12,entertainment,11,5737250.0,20000000.0,0.29,0.04,1630,0,3648,0.86,N/A,0.299,37435,-0.08,-0.0,-0.01,-0.01,-0.102,15.0
tokes,2 Dec 2016,16 Jan 2017,45.0,503.0,1,blockchain,3,N/A,N/A,N/A,5.06,N/A,0,8521,N/A,N/A,-0.897,15471,0.25,0.19,2.96,2.96,-0.12,-1.5
dether,07 Feb 2018,07 Mar 2018,28.0,88.0,5,saas,8,13444650.0,13400000.0,1.0,0.23,6821,0,1281,0.5,N/A,-0.337,40103,-0.32,-0.11,-1.69,-1.69,0.575,-2.5
cryptopay,2 Oct 2017,30 Oct 2017,28.0,216.0,4,blockchain,3,18148220.0,64300000.0,0.28,0.31,361,0,8553,0.48,N/A,0.243,380453,0.1,0.07,1.04,1.04,-0.311,-15.5
atlant,7 Sep 2017,1 Nov 2017,55.0,214.0,2,real estate,12,6663530.0,69200000.0,0.1,0.57,5161,0,4047,0.56,N/A,-0.308,323580,-0.27,0.04,0.68,0.68,-0.221,-8.0
hoqu,27 Nov 2017,26 Feb 2018,91.0,97.0,4,fintech,5,18782400.0,33200000.0,0.57,0.17,14795,0,6137,0.84,N/A,-0.564,29097,-0.15,-0.04,-0.63,-0.63,0.045,-10.0
internxt,7 Sep 2017,28 Sep 2017,21.0,248.0,5,saas,5,220800.0,41000000.0,0.01,1.01,10566,0,0,N/A,N/A,2.129,294867,0.16,0.18,2.87,2.87,-0.083,-11.0
sether,15 Jan 2018,15 Jan 2018,0.0,139.0,5,saas,14,28000000.0,N/A,N/A,3.9,6925,0,10884,0.32,N/A,-0.672,46969,-0.1,-0.05,-0.81,-0.81,-0.258,4.0
lampix,9 Aug 2017,18 Aug 2017,9.0,289.0,1,saas,13,14200000.0,60000000.0,0.24,0.26,1663,0,3360,0.4,N/A,-0.634,29039,0.07,0.06,0.89,0.89,-0.12,-1.0
gatcoin,17 Dec 2017,5 Jan 2018,19.0,149.0,3,saas,17,14500000.0,14500000.0,1.0,0.2,3982,0,4359,0.54,N/A,-0.604,681451,-0.3,-0.23,-3.69,-3.69,-0.031,-8.0
invacio,12 Mar 2018,30 Apr 2018,49.0,34.0,4,fintech,15,1912074.0,30000000.0,0.06,1.0,12,0,4127,0.3,N/A,-0.857,336316,-1.82,-3.14,-6.29,-6.29,-2.623,-15.5
herocoin,14 Sep 2017,14 Oct 2017,30.0,232.0,5,other,7,2021034.0,16000000.0,0.13,0.0267,1952,0,N/A,0.52,N/A,-0.241,852325,0.3,0.16,2.55,2.55,-0.528,-6.0
vezt,4 Nov 2017,3 Dec 2017,29.0,182.0,1,entertainment,19,1378806.0,15000000.0,0.09,0.5,2831,0,5366,0.54,N/A,5.32,2379180,-0.14,-0.13,-2.04,-2.04,-0.545,3.5
eboost,13 Sep 2016,25 Oct 2016,42.0,588.0,12,other,N/A,N/A,N/A,N/A,0.2,N/A,0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.625
