coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
robotina, 21 Mar 2018, 30 Apr 2018,40.0,169.0,5, energy,16,10000000.0,28571429.0,0.35,0.05,5246,1,15, Medium, Medium,0.8,-0.60702,18550,0.37,2.937,5.874,5.831,0.095,8.029,0.043,0.042
bankera, 27 Nov 2017, 27 Feb 2018,92.0,231.0,5, fintech,7,15094919.0,15094919.0,1.0,0.02,18756,0,25368, High, Low,0.84,-0.4809,2604320,-0.588,-0.196,-3.114,-3.174,-0.069,-0.507,-0.009,-0.009
budbo, 29 Jan 2018, 5 Mar 2018,35.0,225.0,7, other,17,30000000.0,52631579.0,0.57,0.35,2824,0,4645, Medium, N/A,0.8,-0.66625,67317,0.101,0.051,0.817,0.8,0.596,5.579,0.001,0.002
alttex, 3 Mar 2018, 1 Jun 2018,90.0,137.0,4, fintech,20,5740800.0,19795862.0,0.29,0.64,10187,0,9142, Medium, Medium,0.84,-0.99282,3555,0.135,1.075,2.151,2.137,0.656,0.418,0.043,0.043
iqeon, 30 Jan 2018, 13 Mar 2018,42.0,217.0,5, gaming,15,1564307.0,15643070.0,0.1,2.15,3691,0,2234, Medium, Low,0.82,-0.89996,5951,-0.114,-0.903,-1.806,-1.895,-0.062,-0.506,-0.004,-0.004
hero, 14 Sep 2017, 14 Oct 2017,30.0,367.0,5, fintech,13,36416517.0,173411986.0,0.21,0.0399,651,0,4177, Medium, N/A,0.72,7.53388,88370,-0.08,0.014,0.223,0.2,1.118,9.274,-0.003,-0.002
internxt, 7 Sep 2017, 28 Sep 2017,21.0,383.0,5, saas,5,220800.0,22080000.0,0.01,1.0091,10245,0,25, N/A, N/A,0.52,2.1315,294867,0.156,0.18,2.852,2.832,-0.24,-2.369,0.025,0.025
kybernetwork, 31 Aug 2017, 15 Sep 2017,15.0,396.0,7, fintech,10,52000000.0,52000000.0,1.0,0.41,11711,0,91066, N/A, N/A,0.86,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
rivetz, 10 Aug 2017, 10 Sep 2017,31.0,401.0,1, saas,15,18653920.0,20057978.0,0.93,0.89,1484,10,10973, N/A, N/A,0.88,-0.44574,31436,-0.003,-0.035,-0.558,-0.593,0.199,3.337,0.001,0.001
substratum, 14 Aug 2017, 14 Sep 2017,31.0,397.0,1, blockchain,6,13800000.0,44516129.0,0.31,0.0744,2668,2,70654, N/A, N/A,0.74,-0.37212,41819,0.285,0.278,4.417,4.385,0.24,3.559,0.007,0.005
coss, 8 Aug 2017, 6 Sep 2017,29.0,405.0,7, fintech,24,3200000.0,64000000.0,0.05,0.0565,5020,0,17880, Medium, VeryLow,0.6,-0.19306,116130,0.397,0.121,1.917,1.888,0.159,1.085,0.008,0.007
indorse, 8 Aug 2017, 8 Sep 2017,31.0,403.0,7, blockchain,19,9247392.0,14915148.0,0.62,0.3067,41,0,8972, High, Medium,0.64,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
viberate, 5 Sep 2017, 5 Sep 2017,0.0,406.0,5, telecommunications,19,12000000.0,12000000.0,1.0,0.1,4536,1,35761, High, VeryLow,0.74,1.74978,1490480,-0.187,-0.078,-1.245,-1.292,0.045,1.036,0.0,0.0
opus, 24 Jul 2017, 24 Aug 2017,31.0,418.0,12, telecommunications,11,5737250.0,19783621.0,0.29,0.04,1530,1,3668, N/A, N/A,0.88,0.29912,37435,-0.076,0.0,0.006,-0.017,0.169,1.42,0.038,0.041
dent, 12 Jul 2017, 26 Jul 2017,14.0,447.0,3, fintech,8,1341878.0,26837560.0,0.05,0.0004,1466,7,40188, Medium, N/A,0.76,0.585,71565,0.162,0.104,1.654,1.636,0.548,8.96,0.018,0.016
pillar, 15 Jul 2017, 17 Jul 2017,2.0,456.0,4, other,30,20000000.0,50000000.0,0.4,0.097,715,0,13069, N/A, N/A,0.68,-0.23258,101274,0.243,0.064,1.02,0.984,0.129,1.503,0.007,0.006
sonm, 15 Jun 2017, 19 Jun 2017,4.0,484.0,2, blockchain,14,42000000.0,42000000.0,1.0,0.5911,8762,1,32514, N/A, N/A,0.6,-0.11724,86186,-0.551,-0.097,-1.54,-1.571,-0.018,0.763,0.002,0.002
crypviser, 20 May 2017, 30 Jun 2017,41.0,473.0,2, other,6,4025989.0,7455535.0,0.54,1.0,69539,1,6702, N/A, N/A,0.64,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
darcrus, 21 Dec 2016, 26 Dec 2016,5.0,659.0,12, other,3,29742.0,129313.0,0.23,0.02,1914,2,9198, N/A, N/A,0.4,0.05015,6268,0.361,0.165,2.626,2.587,0.232,4.648,0.028,0.035
