coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,N_daily_views,N_daily_time,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
trackr,16 Aug 2017,15 Sep 2017,30.0,435.0,4,fintech,3,28879811.0,N/A,N/A,0.0519,N/A,0,N/A,N/A,N/A,Medium,Low,0.52,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
goldenfleece,14 Aug 2017,29 Sep 2017,46.0,421.0,12,blockchain,14,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
facecoin,14 Aug 2017,14 Sep 2017,31.0,436.0,12,other,5,N/A,243620.0,N/A,N/A,N/A,0,419,N/A,N/A,Low,High,0.64,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
inkchain,13 Aug 2017,15 Aug 2017,2.0,466.0,3,blockchain,7,N/A,N/A,N/A,0.01,N/A,0,N/A,N/A,N/A,VeryLow,Low,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
prime-ex,13 Aug 2017,13 Sep 2017,31.0,437.0,12,real estate,N/A,5000000.0,N/A,N/A,0.001,N/A,0,N/A,N/A,N/A,Low,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
substratum,14 Aug 2017,14 Sep 2017,31.0,436.0,1,blockchain,6,13800000.0,44516129.0,0.31,0.0744,2587,0,70029,1.6,96.0,Medium,Medium,0.74,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
daseron,14 Aug 2017,14 Sep 2017,31.0,436.0,12,telecommunications,6,N/A,N/A,N/A,0.0159,N/A,0,317,N/A,N/A,VeryLow,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
protostarr,11 Aug 2017,08 Sep 2017,28.0,442.0,12,fintech,4,5738100.0,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
dentalfix,13 Aug 2017,13 Sep 2017,31.0,437.0,2,other,6,1697000.0,N/A,N/A,0.3678,N/A,0,341,N/A,N/A,Low,Low,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
alpencoin,11 Aug 2017,10 Sep 2017,30.0,440.0,12,ecommerce,1,N/A,5968690.0,N/A,N/A,N/A,0,N/A,N/A,N/A,VeryLow,Medium,0.72,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
stuffgogo,12 Aug 2017,8 Sep 2017,27.0,442.0,1,gaming,3,23975.0,N/A,0.0,0.0307,N/A,0,3482,N/A,N/A,Low,Low,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
ongcoin,09 Aug 2017,09 Sep 2017,31.0,441.0,1,other,11,1270000.0,N/A,N/A,0.001,N/A,0,1971,1.0,125.0,Low,VeryLow,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
prospectors,10 Aug 2017,10 Sep 2017,31.0,440.0,2,gaming,6,579233.0,N/A,N/A,N/A,7286,0,N/A,N/A,N/A,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
fujinto,10 Aug 2017,10 Sep 2017,31.0,440.0,8,blockchain,3,17566200.0,29277000.0,0.6,0.0748,N/A,3,951,N/A,N/A,Medium,High,0.68,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
pecun,08 Aug 2017,18 Aug 2017,10.0,463.0,12,fintech,6,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,Low,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
filecoin,10 Aug 2017,10 Sep 2017,31.0,440.0,1,saas,13,25700000.0,25700000.0,1.0,0.75,N/A,3,24158,2.5,196.0,High,Low,0.88,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
neo,8 Aug 2017,9 Sep 2017,32.0,441.0,3,blockchain,16,5050000.0,5101010.0,0.99,0.032,N/A,0,316898,2.7,125.0,VeryHigh,VeryLow,0.88,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
oceanlab,07 Aug 2017,31 Aug 2017,24.0,450.0,12,blockchain,1,N/A,35000000.0,N/A,0.64,N/A,2,N/A,N/A,N/A,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
indorse,8 Aug 2017,8 Sep 2017,31.0,442.0,7,blockchain,19,9247392.0,14915148.0,0.62,0.3067,39,1,8701,1.4,132.0,High,Medium,0.64,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
betking,7 Aug 2017,4 Sep 2017,28.0,446.0,4,gambling,N/A,6500000.0,N/A,N/A,0.093,N/A,1,2827,2.4,233.0,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
fluence,05 Aug 2017,13 Aug 2017,8.0,468.0,2,saas,4,800000.0,20000000.0,0.04,0.62,6273,0,N/A,N/A,N/A,Low,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
xplay,05 Aug 2017,28 Aug 2017,23.0,453.0,12,other,7,10000000.0,10000000.0,1.0,0.015,N/A,0,N/A,N/A,N/A,Low,Medium,0.66,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
neblio,6 Aug 2017,20 Aug 2017,14.0,461.0,1,blockchain,2,14834923.0,211927471.0,0.07,0.2032,N/A,1,40356,2.7,172.0,High,Medium,0.72,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
slvr,03 Aug 2017,03 Sep 2017,31.0,447.0,12,blockchain,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
ramo,02 Aug 2017,02 Sep 2017,31.0,448.0,12,real estate,2,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
loopring,1 Aug 2017,16 Aug 2017,15.0,465.0,3,fintech,3,45000000.0,45000000.0,1.0,0.06,5022,4,28485,2.8,125.0,Stable+,High,0.58,0.74683,200829,-0.054,0.123,1.952,1.93,0.168,3.214,0.004,0.001
imbrex,31 Jul 2017,28 Aug 2017,28.0,453.0,12,real estate,N/A,N/A,N/A,N/A,0.47,690,0,N/A,N/A,N/A,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
enledger,1 Aug 2017,31 Aug 2017,30.0,450.0,1,fintech,4,420.0,N/A,N/A,0.0,N/A,0,91,N/A,N/A,Low,High,0.6,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
harbour,31 Jul 2017,14 Aug 2017,14.0,467.0,12,other,N/A,N/A,2991600.0,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
rex,31 Jul 2017,25 Aug 2017,25.0,456.0,1,ecommerce,5,4300000.0,N/A,N/A,0.4748,N/A,0,11,N/A,N/A,Medium,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
bhotspot,29 Jul 2017,14 Aug 2017,16.0,467.0,12,fintech,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,VeryLow,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
moeda,28 Jul 2017,28 Aug 2017,31.0,453.0,10,fintech,8,19628888.0,N/A,N/A,1.0,3287,7,N/A,1.0,43.0,Low,N/A,0.38,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
coinless,27 Jul 2017,29 Aug 2017,33.0,452.0,12,fintech,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
kuna,27 Jul 2017,07 Sep 2017,42.0,443.0,12,fintech,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Medium,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
arenaplay,27 Jul 2017,27 Aug 2017,31.0,454.0,12,other,1,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
bitbounce,26 Jul 2017,25 Aug 2017,30.0,456.0,1,telecommunications,2,11330707.0,19878433.0,0.57,0.0145,N/A,0,4596,N/A,N/A,Medium,N/A,0.5,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
ziber,27 Jul 2017,6 Aug 2017,10.0,475.0,4,saas,4,N/A,3190000.0,N/A,0.319,N/A,0,94,N/A,N/A,Low,High,0.6,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
stox,2 Aug 2017,4 Aug 2017,2.0,477.0,7,fintech,20,33000000.0,33000000.0,1.0,1.103,N/A,0,14451,5.0,302.0,High,Medium,N/A,0.09701,1294120,0.386,0.039,0.626,0.599,0.045,1.117,-0.005,-0.006
sosnovkino,26 Jul 2017,26 Aug 2017,31.0,455.0,2,other,3,16380.0,N/A,N/A,10.0,N/A,0,N/A,N/A,N/A,Low,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
slogn,24 Jul 2017,14 Aug 2017,21.0,467.0,12,transportation,15,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,Medium,0.6,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
propy,15 Aug 2017,15 Sep 2017,31.0,435.0,1,real estate,11,15077000.0,100513333.0,0.15,1.0,N/A,0,11052,1.9,172.0,High,Low,0.76,-0.25468,26854,-0.101,-0.035,-0.561,-0.586,0.126,1.113,0.003,0.003
everex,24 Jul 2017,31 Aug 2017,38.0,450.0,7,other,9,25840000.0,26101010.0,0.99,2.13,4346,1,14312,1.5,131.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
tribetoken,24 Jul 2017,14 Aug 2017,21.0,467.0,5,other,3,N/A,10000000.0,0.0,0.0996,26,0,871,N/A,N/A,Low,High,0.4,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
crazybet,23 Jul 2017,10 Aug 2017,18.0,471.0,5,other,4,2595076.0,4398434.0,0.59,0.1491,N/A,0,969,N/A,N/A,Low,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
nwa,22 Jul 2017,02 Sep 2017,42.0,448.0,12,other,3,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
investfeed,23 Jul 2017,7 Aug 2017,15.0,474.0,1,fintech,11,3400000.0,3400000.0,1.0,0.0027,N/A,0,N/A,3.4,179.0,High,Medium,0.88,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
paquarium,20 Jul 2017,24 Aug 2017,35.0,457.0,5,other,10,61980.0,6198000.0,0.01,0.1,N/A,1,N/A,N/A,N/A,Low,VeryHigh,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
opus,24 Jul 2017,24 Aug 2017,31.0,457.0,12,other,11,5737250.0,19783621.0,0.29,0.04,1576,2,3564,N/A,N/A,Medium,VeryLow,0.88,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
solvena,19 Jul 2017,19 Aug 2017,31.0,462.0,12,fintech,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,Low,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
district0x,18 Jul 2017,1 Aug 2017,14.0,480.0,1,blockchain,8,9000000.0,9000000.0,1.0,0.0168,N/A,1,60348,2.2,141.0,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
peerbanks,18 Jul 2017,22 Sep 2017,66.0,428.0,1,fintech,4,42590100.0,N/A,N/A,100.0,61,0,939,N/A,N/A,VeryLow,Medium,0.48,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
aicoin,17 Jul 2017,28 Aug 2017,42.0,453.0,7,fintech,3,3000000.0,N/A,N/A,0.054,N/A,0,964,3.0,300.0,Low,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
knows,17 Jul 2017,17 Aug 2017,31.0,464.0,10,social services,N/A,N/A,7000000.0,N/A,0.1,30,0,56,N/A,N/A,Low,Medium,0.36,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
atbcoin,15 Jul 2017,13 Sep 2017,60.0,437.0,12,other,N/A,20400000.0,N/A,N/A,0.9,1955,0,N/A,N/A,N/A,Medium,Low,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
agrello,16 Jul 2017,17 Aug 2017,32.0,464.0,5,blockchain,7,30100000.0,43000000.0,0.7,0.56,4504,7,14338,1.2,85.0,High,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
obsidian,12 Aug 2017,26 Aug 2017,14.0,455.0,4,blockchain,7,1566332.0,8701844.0,0.18,0.1519,592,1,7753,1.0,117.0,Medium,Low,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
bolenum,15 Jul 2017,14 Aug 2017,30.0,467.0,12,fintech,N/A,19121.0,N/A,N/A,5.9832,N/A,4,3512,2.5,174.0,Low,High,0.28,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
blockcat,15 Jul 2017,14 Aug 2017,30.0,467.0,1,blockchain,7,6284400.0,6284400.0,1.0,0.9962,N/A,1,7670,1.0,120.0,Medium,Medium,0.8,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
pillar,15 Jul 2017,17 Jul 2017,2.0,495.0,4,fintech,30,20000000.0,50000000.0,0.4,0.097,641,1,13041,2.0,109.0,High,N/A,0.68,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
coinjob,14 Jul 2017,14 Aug 2017,31.0,467.0,1,other,4,76392.0,N/A,0.0,0.2992,N/A,0,480,N/A,N/A,Low,High,0.8,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
dent,12 Jul 2017,26 Jul 2017,14.0,486.0,3,fintech,8,779466.0,25982200.0,0.03,0.0004,1401,1,40034,N/A,N/A,Medium,N/A,0.76,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
mass,11 Jul 2017,18 Jul 2017,7.0,494.0,5,fintech,11,1538407.0,10988621.0,0.14,N/A,1360,0,N/A,N/A,N/A,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
dochain,6 Jul 2017,6 Jul 2017,0.0,506.0,3,blockchain,3,13062905.0,13062905.0,1.0,0.034,N/A,0,N/A,N/A,N/A,Low,N/A,0.2,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
blocktix,7 Jul 2017,25 Jul 2017,18.0,487.0,5,other,7,6981328.0,7506804.0,0.93,0.24,N/A,3,17644,1.0,65.0,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
soccerchain,04 Jul 2017,07 Aug 2017,34.0,474.0,12,gaming,N/A,N/A,N/A,N/A,0.1,N/A,0,N/A,N/A,N/A,VeryLow,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
mothership,7 Jul 2017,21 Jul 2017,14.0,491.0,5,fintech,11,5406897.0,7724139.0,0.7,0.0373,N/A,1,4037,1.5,125.0,Medium,High,0.64,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
santiment,4 Jul 2017,5 Jul 2017,1.0,507.0,6,other,12,12215250.0,12215250.0,1.0,0.266,N/A,1,9787,2.7,176.0,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
starta,4 Jul 2017,3 Aug 2017,30.0,478.0,2,other,11,50000009.0,N/A,N/A,1.0,713,1,N/A,N/A,N/A,Medium,Low,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
neverdie,30 Jun 2017,1 Sep 2017,63.0,449.0,1,gaming,2,5800000.0,10000000.0,0.58,0.25,49,1,1465,3.0,290.0,Low,N/A,0.64,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
dimcoin,1 Jul 2017,27 Aug 2017,57.0,454.0,11,blockchain,1,14005746.0,14005746.0,1.0,0.01,2818,2,N/A,1.1,63.0,Medium,Medium,0.76,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
droplex,30 Jul 2017,13 Aug 2017,14.0,468.0,12,other,2,N/A,11865000.0,0.24,0.3955,N/A,0,294,N/A,N/A,Low,VeryHigh,0.36,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
ethos,28 Jun 2017,16 Jul 2017,18.0,496.0,12,fintech,29,N/A,N/A,N/A,0.06865,26342,1,61468,2.3,222.0,VeryHigh,N/A,N/A,-0.23716,61497,0.291,0.253,4.012,3.997,0.145,1.509,0.009,0.001
nimiq,28 Jun 2017,8 Jul 2017,10.0,504.0,5,blockchain,13,10000000.0,10000000.0,1.0,1.4038,N/A,1,61,3.3,191.0,High,N/A,0.68,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
suncontract,28 Jun 2017,1 Aug 2017,34.0,480.0,5,energy,13,2000000.0,N/A,N/A,0.0226,N/A,1,12913,2.8,130.0,Medium,N/A,0.82,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
rustbits,26 Jun 2017,31 Jul 2017,35.0,481.0,1,gaming,2,50000.0,2500000.0,0.02,0.0286,N/A,0,3219,N/A,N/A,Medium,N/A,0.66,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
omisego,23 Jun 2017,23 Jul 2017,30.0,489.0,7,fintech,5,25000000.0,25000000.0,1.0,0.2283,N/A,1,287940,3.1,156.0,Medium,N/A,0.9,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
populous,24 Jul 2017,24 Jul 2017,0.0,488.0,4,other,5,10220400.0,10220400.0,1.0,0.248,N/A,1,23683,N/A,N/A,Medium,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
etheriya,21 Jun 2017,10 Aug 2017,50.0,471.0,12,other,N/A,30000.0,35294.0,0.85,0.25,N/A,1,611,N/A,N/A,Low,N/A,0.38,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
bytom,20 Jun 2017,20 Jul 2017,30.0,492.0,3,telecommunications,7,22554000.0,N/A,N/A,0.045,N/A,1,17807,1.6,99.0,Medium,N/A,0.46,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
openanx,22 Jun 2017,21 Jul 2017,29.0,491.0,3,fintech,28,18756937.0,22598719.0,0.83,0.45,N/A,9,12667,N/A,N/A,High,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
skincoin,21 Jun 2017,21 Jul 2017,30.0,491.0,2,gaming,6,3292183.0,9976312.0,0.33,0.0361,642,1,5981,1.0,29.0,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
fundyourselfnow,13 Jun 2017,31 Jul 2017,48.0,481.0,12,other,8,1500000.0,N/A,N/A,2.013,4307,0,N/A,1.0,42.0,Low,N/A,N/A,-0.45355,27307,0.245,0.138,2.185,2.175,0.28,2.577,0.028,0.028
compcoin,14 Jul 2017,31 Jul 2017,17.0,481.0,1,fintech,4,N/A,N/A,N/A,15.0,N/A,0,2,N/A,N/A,Low,N/A,0.5,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
orocrypt,14 Jun 2017,13 Jul 2017,29.0,499.0,6,fintech,4,1392000.0,N/A,N/A,9.0,N/A,1,5305,N/A,N/A,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
encrypgen,1 Jun 2017,18 Jul 2017,47.0,494.0,1,other,3,10000005.0,N/A,N/A,0.034,N/A,0,5083,1.6,109.0,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
cryptobank,30 May 2017,30 Aug 2017,92.0,451.0,12,fintech,N/A,47000000.0,N/A,N/A,0.1,N/A,0,N/A,N/A,N/A,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
leviar,07 Apr 2017,09 Jul 2017,93.0,503.0,12,fintech,N/A,N/A,N/A,N/A,1.0,956,1,N/A,N/A,N/A,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
crucoins,1 Jun 2017,31 Jul 2017,60.0,481.0,1,other,N/A,N/A,N/A,N/A,0.0,N/A,0,N/A,N/A,N/A,Low,VeryHigh,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
