,coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc
113,wepower,01-Feb-18,02-Feb-18,1,126,7,4,20.0,40000000.0,40000000.0,1.0,0.13,51357.0,4.0,36255.0,0.84,0.35,782690.0,0.0,-0.04,-0.7,-0.7,-0.042,-1.0,-0.005
114,odem,17-Feb-18,18-Mar-18,29,82,6,11,12.0,4000000.0,16433424.706358928,,0.8279986571179905,7769.65093136221,1.0,3121.0,0.5039115044430998,0.0,18548.0,0.47,3.75,7.5,7.5,0.486,-0.5,0.024
115,appcoins,13-Dec-17,20-Dec-17,7,170,7,4,18.0,15300000.0,15300000.0,1.0,0.1,11796.0,3.0,27481.0,0.58,34.3,124119000.0,-0.07,-0.12,-1.97,-1.97,-0.11,-1.5,-0.008
116,odyssey,21-Jan-18,22-Jan-18,1,137,7,0,21.0,50000000.0,50000000.0,1.0,0.0119,47843.0,1.0,888.0,0.54,1.093,12284200.0,0.09,0.01,0.2,0.2,-0.16899999999999998,-17.0,0.006999999999999999
117,loyalcoin,11-Dec-17,10-Feb-18,61,118,12,4,10.0,40226964.0,40226964.0,1.0,0.01,18986.10291817741,3.039308979752699,6572.0,0.5,-0.359,60119.0,-0.9,-1.56,-3.11,-3.11,-0.6579999999999999,,-0.006
118,wabi,28-Nov-17,01-Dec-17,3,189,2,8,10.0,11500000.0,11500000.0,1.0,0.25,8368.0,2.0,35426.0,0.42,4.56,26744800.0,0.21,0.1,1.56,1.56,-0.183,,0.004
119,datx,11-Feb-18,11-Mar-18,28,89,7,7,9.0,44150000.0,44150000.0,1.0,0.0353,26012.0,1.0,48101.0,0.46,-0.22,612568.0,-0.28,0.09,1.45,1.45,0.29,,0.005
120,tierion,27-Jul-17,28-Jul-17,1,315,1,4,11.0,25000000.0,25000000.0,1.0,0.07,4316.0,1.0,96000.26118449858,0.94,2.332,1142210.0,-0.11,-0.15,-2.38,-2.38,-0.242,,0.004
121,decentbet,21-Sep-17,19-Oct-17,28,232,12,7,11.78575519762246,13881450.0,34566584.30097836,,0.1,7348.945986307265,1.0,15791.638211498579,0.42,0.815,26234.0,-0.02,0.15,2.36,2.39,-0.387,-3.843,0.012
122,zeepin,17-Jan-18,17-Jan-18,0,142,12,0,13.600139161615928,62580000.0,62580000.0,1.0,0.13,20418.0,1.0,24188.36461509275,0.86,0.51,14383200.0,-0.01,-0.1,-1.55,-1.55,-0.235,,-0.003
123,minexcoin,15-May-17,13-Jun-17,29,360,12,2,11.78575519762246,13881450.0,34566584.30097836,,0.9121706080373091,3009.0,1.3894606962523557,15791.638211498579,0.4587431997303549,0.0,17365.0,0.51,0.32,5.01,5.01,0.07400000000000001,,0.015
124,naga,01-Dec-17,15-Dec-17,14,175,12,2,28.0,45318896.0,45318896.0,1.0,1.0,13404.0,10.0,26.0,0.6043889604030265,0.55,3010670.0,0.22,0.03,0.47,0.47,-0.051,,-0.001
125,datawallet,05-Feb-18,07-Mar-18,30,93,1,7,13.0,39436870.0,39835222.0,0.99,0.18,6217.0,1.0,5737.0,0.42,-0.226,122971.0,-0.14,-0.14,-2.24,-2.24,0.308,,0.003
126,modum,01-Sep-17,22-Oct-17,51,229,6,4,17.0,13350000.0,16481481.0,0.81,1.0,2330.0,1.0,14543.0,0.4,-0.373,119265.0,0.35,0.25,3.9,3.9,-0.159,,0.013000000000000001
127,universa,27-Oct-17,27-Nov-17,31,193,2,4,25.0,28559233.0,98480114.0,0.29,0.01,14249.0,8.0,1139.0,0.62,4.1610000000000005,763454.0,-0.49,-0.13,-1.99,-1.99,-0.289,,-0.008
128,decent,11-Sep-16,06-Nov-16,56,579,6,5,31.0,24137000.0,24137000.0,1.0,0.024,16916.23900268034,7.0,30162.0,0.5840531301291946,3.583,121.0,0.2,0.17,2.72,2.72,0.153,,0.025
129,presearch,25-Jul-17,31-Oct-17,98,220,1,4,10.0,16000000.0,34566584.30097836,,0.25,9781.0,2.0,1202.0,0.5124599738064687,-0.151,98499.0,0.26,0.13,2.08,2.08,0.149,,0.013000000000000001
130,yoyow,21-May-17,24-May-17,3,380,3,4,12.100648412515675,4364760.0,14549200.0,0.3,0.02,3311.0,1.0,12006.770707423431,0.5039115044430998,5.154,8194.0,-0.04,-0.01,-0.09,-0.09,-0.003,,0.01
131,qlink,27-Dec-17,27-Jan-18,31,132,7,6,14.0,19270800.0,19270800.0,1.0,0.1,19903.0,1.0,352.0,0.64,1.901,9911000.0,0.18,0.03,0.42,0.42,-0.409,,-0.001
132,taas,27-Mar-17,28-Apr-17,32,406,7,2,4.0,7500000.0,10135135.0,0.74,1.0,7348.945986307265,4.0,141.0,0.4921636783561435,-0.18,1571.0,0.08,0.22,3.54,3.54,0.053,,0.006
133,mobilego,25-Apr-17,25-May-17,30,379,1,4,6.0,53000000.0,45931858.05932918,,0.76,2562.0,2.0,315.0,0.6818056323781315,2.539,187166.0,-0.05,-0.01,-0.2,-0.2,-0.14400000000000002,,0.001
134,lunyr,29-Mar-17,28-Apr-17,30,406,1,4,3.0,3400000.0,16433424.706358928,,1.61,7769.65093136221,1.0,33932.0,0.5039115044430998,0.59,309766.0,0.07,0.08,1.22,1.22,-0.21,,0.015
135,cashaa,06-Nov-17,06-Dec-17,30,184,4,2,11.0,11110000.0,31742857.0,0.35,0.1,7563.0,1.0,391.0,0.58,0.182,34753.0,-0.23,-0.13,-2.14,-2.14,0.196,,0.003
136,maecenas,07-Sep-17,08-Oct-17,31,243,4,4,8.0,15375432.0,18982015.0,0.81,0.64,1055.0,2.0,2384.0,0.38,-0.27899999999999997,11868.0,0.09,0.17,2.68,2.68,-0.235,,0.026000000000000002
137,melon,15-Feb-17,16-Feb-17,1,477,6,7,2.0,13881450.0,34566584.30097836,,0.9121706080373091,42.0,1.0,15791.638211498579,0.4587431997303549,0.0,57957.0,0.21,0.07,1.13,1.13,-0.099,,0.006
138,etherparty,01-Oct-17,29-Oct-17,28,222,1,0,26.0,33732274.0,64869758.0,0.52,0.1,6098.0,6.0,2.0,0.68,-0.565,180346.0,0.13,0.24,3.75,3.75,0.021,,0.01
139,banca,26-Feb-18,26-Feb-18,0,102,7,7,17.0,20000000.0,20000000.0,1.0,0.002,9083.0,1.0,7348.0,0.42,-0.655,856596.0,0.06,0.27,4.21,4.21,-0.706,,0.026000000000000002
140,hive-project,03-Jul-17,14-Aug-17,42,298,5,2,18.0,8949421.0,18035526.83829695,,0.02,7348.945986307265,2.317412370806332,3048.0,0.82,0.045,216.0,0.17,0.12,1.84,1.84,-0.046,,0.017
141,viberate,05-Sep-17,05-Sep-17,0,276,5,1,34.0,12000000.0,12000000.0,1.0,0.1,5653.0,7.0,33374.0,0.56,1.75,1490480.0,-0.19,-0.08,-1.24,-1.24,-0.157,,0.004
142,coss,08-Aug-17,06-Sep-17,29,275,7,4,24.0,3200000.0,16433424.706358928,,0.56,7769.65093136221,2.0,199.0,0.48,-0.919,116130.0,0.39,0.12,1.9,1.9,0.09,,0.016
143,propy,15-Aug-17,15-Sep-17,31,266,1,9,11.0,15077000.0,100513333.0,0.15,1.0,8288.672452034232,3.0,15791.638211498579,0.98,-0.255,26854.0,-0.1,-0.03,-0.52,-0.52,-0.048,,0.011000000000000001
144,refereum,12-Feb-18,12-Mar-18,28,88,1,4,14.0,32252400.0,32252400.0,1.0,0.01,99750.0,3.0,54798.0,0.32,1.043,1161020.0,-0.26,-0.04,-0.56,-0.56,0.03,,-0.004
145,cobinhood,13-Sep-17,22-Oct-17,39,229,12,0,3.0,13078406.0,25150781.0,0.52,0.07,12342.0,7.0,46182.0,0.2,-0.262,41446.0,0.22,0.25,3.91,3.91,0.16399999999999998,,0.012
146,datum,29-Oct-17,29-Nov-17,31,191,6,4,19.0,7581120.0,29158154.0,0.26,0.02,7892.0,4.0,36753.0,0.34,0.397,160521.0,0.6,0.18,2.92,2.92,-0.121,,0.006
147,firstblood,25-Sep-16,26-Sep-16,1,620,1,0,13.0,5500000.0,18035526.83829695,,0.08,13.0,1.0,31493.0,0.4921636783561435,0.991,1255030.0,-0.2,-0.23,-3.61,-3.61,0.125,,0.008
148,humaniq,06-Apr-17,27-Apr-17,21,407,4,4,19.0,5163000.0,16433424.706358928,,0.06,7348.945986307265,10.0,30707.0,0.4921636783561435,0.17800000000000002,420384.0,0.19,0.13,2.0,2.0,0.04,,0.009000000000000001
149,mothership,07-Jul-17,21-Jul-17,14,322,5,4,10.0,5406897.0,7724139.0,0.7,0.04,7348.945986307265,1.0,490.0,0.6,0.006,88727.0,0.49,0.24,3.74,3.74,-0.055,,0.009000000000000001
150,bankex,28-Nov-17,28-Dec-17,30,162,1,2,9.0,70600000.0,103823529.0,0.68,1.47,6240.0,4.0,7753.0,0.82,0.932,371912.0,-0.43,-0.22,-3.5,-3.5,-0.13,,-0.012
151,alphacat,12-Jan-18,12-Jan-18,0,147,12,2,15.0,13881450.0,34566584.30097836,,0.9121706080373091,9068.0,0.0,15791.638211498579,0.4587431997303549,0.0,474748.0,-0.19,-0.07,-1.14,-1.14,-0.111,,-0.002
152,envion,15-Dec-17,14-Jan-18,30,145,6,0,12.0,100000000.0,149253731.0,0.67,1.0,22212.0,5.0,21550.0,0.66,-0.036000000000000004,168394.0,-0.22,-0.13,-2.0,-2.0,-0.281,,-0.01
153,medicalchain,01-Feb-18,01-Feb-18,0,127,4,3,10.0,23991953.0,23991953.0,1.0,0.2,26927.0,3.0,15885.0,0.64,0.588,122744.0,-0.12,-0.25,-4.03,-3.96,-0.071,0.382,-0.006
154,polybius,31-May-17,30-Jun-17,30,343,5,2,11.0,62956169.0,99930427.0,0.63,10.0,3557.0,5.0,10.0,0.6818056323781315,-0.192,506294.0,-0.02,0.07,1.03,1.03,-0.363,,0.006
155,bloom,30-Nov-17,01-Jan-18,32,158,1,4,11.0,41420705.0,81217069.0,0.51,0.7,13520.0,3.0,444.0,0.5749858098677566,1.714,101651.0,-0.32,-0.15,-2.35,-2.31,-0.12300000000000001,-0.7509999999999999,-0.005
156,cofound.it,31-May-17,07-Jun-17,7,373,5,2,9.0,14820030.0,14820030.0,1.0,0.12,1094.0,1.0,15791.638211498579,0.5124599738064687,1.682,3663160.0,-0.2,0.04,0.66,0.67,0.004,-1.514,0.001
157,synereo,18-Sep-16,18-Oct-16,30,598,12,4,12.100648412515675,4700000.0,4700000.0,1.0,0.19,7769.65093136221,1.0,26904.0,0.5039115044430998,-0.988,241.0,0.23,0.24,3.83,3.83,-0.096,,0.013000000000000001
158,peerplays,26-Feb-17,14-May-17,77,390,1,1,7.0,5000000.0,16433424.706358928,,4.6,1449.0,1.0,5536.0,0.4921636783561435,1.446,10275.0,0.25,0.07,1.13,1.13,0.047,,0.01
159,stk,31-Jan-18,14-Feb-18,14,114,1,0,16.0,17000000.0,34566584.30097836,,0.2,7218.0,3.0,10169.0,0.5124599738064687,0.262,12919500.0,-0.23,-0.23,-3.68,-3.68,-0.295,,-0.006999999999999999
160,everex,24-Jul-17,31-Aug-17,38,281,7,2,9.0,25840000.0,26101010.0,0.99,2.13,4659.0,2.0,14181.0,0.5749858098677566,-0.10300000000000001,1389230.0,0.12,0.04,0.62,0.62,0.107,,0.005
161,blackmoon,12-Sep-17,12-Oct-17,30,239,12,0,14.0,30000000.0,30000000.0,1.0,1.1,3486.0,1.0,6508.0,0.46,-0.235,592273.0,0.01,-0.11,-1.71,-1.71,-0.09699999999999999,,0.004
162,suncontract,28-Jun-17,01-Aug-17,34,311,5,10,31.0,2000000.0,15412846.790607298,,0.02,2.0,1.0,15311.0,0.76,1.128,35660.0,0.05,0.14,2.3,2.3,0.08800000000000001,,0.015
163,stox,02-Aug-17,04-Aug-17,2,308,7,2,20.0,33000000.0,33000000.0,1.0,1.1,9486.0,6.0,14028.0,0.48,0.1,1294120.0,0.4,0.04,0.7,0.7,-0.08900000000000001,,0.002
164,chronobank,15-Dec-16,15-Feb-17,62,478,2,4,1.0,5400000.0,16433424.706358928,,10.0,7348.945986307265,7.0,20013.0,0.4921636783561435,-0.06,42133.0,-0.26,0.03,0.44,0.44,-0.154,,0.006999999999999999
165,dmarket,14-Nov-17,01-Dec-17,17,189,2,1,4.0,19026768.0,52852133.0,0.36,0.63,3451.0,3.0,7290.0,0.68,0.542,18992.0,-0.03,0.06,1.02,1.02,0.10800000000000001,,0.008
166,adtoken,26-Jun-17,26-Jun-17,0,347,12,4,12.100648412515675,10000000.0,18035526.83829695,,0.02,7348.945986307265,1.0,6626.0,0.4921636783561435,2.26,334.0,-0.07,0.05,0.87,0.87,-0.239,,0.006999999999999999
167,matchpool,02-Apr-17,04-Apr-17,2,430,12,4,7.0,5800000.0,18035526.83829695,,0.1,2211.0,1.0,12006.770707423431,0.4921636783561435,1.41,610.0,0.18,0.12,1.84,1.84,0.057,-0.365,0.024
168,karma,29-Nov-17,15-Dec-17,16,175,2,2,15.0,10000000.0,10000000.0,1.0,0.01,1221.0,1.0,4217.0,0.44,5.9110000000000005,150439.0,-0.01,-0.17,-2.67,-2.67,-0.36700000000000005,,-0.006999999999999999
169,lamden,01-Dec-17,03-Jan-18,33,156,6,2,15.0,10000000.0,10000000.0,1.0,0.03,9139.0,1.0,14171.586788402423,0.36,21.283,937600.0,0.03,-0.05,-0.83,-0.83,-0.336,,-0.004
170,incent,01-Sep-16,01-Sep-16,0,645,9,0,7.0,1000000.0,11582610.615360258,,0.1,5395.366926923923,1.0,13304.0,0.40649005597826066,-0.9179999999999999,43.0,0.22,0.14,2.19,2.19,-0.03,,0.031
171,dimcoin,01-Jul-17,27-Aug-17,57,285,11,2,20.0,14005746.0,14005746.0,1.0,0.01,3081.0,8.0,15791.638211498579,0.68,23.561999999999998,1409400.0,-0.49,-0.22,-3.44,-3.44,0.11199999999999999,,-0.006
172,monetha,31-Aug-17,31-Aug-17,0,281,5,2,11.0,35910000.0,35910000.0,1.0,0.19,4757.0,1.0,19183.0,0.68,0.502,2743890.0,-0.15,-0.11,-1.76,-1.76,-0.166,,0.003
173,aeron,19-Sep-17,30-Oct-17,41,221,10,6,11.0,4897723.0,30610769.0,0.16,0.5,19595.0,1.0,30285.0,0.5,-0.18899999999999997,8757.0,0.13,0.16,2.58,2.58,0.11699999999999999,,0.027999999999999997
174,cappasity,22-Feb-18,22-Mar-18,28,78,1,4,5.0,2301451.0,19178758.0,0.12,0.01,58361.0,7.0,37708.0,0.62,2.315,887638.0,0.12,0.17,2.68,2.68,0.47,,0.013999999999999999
175,dadi,29-Jan-18,29-Jan-18,0,130,4,2,15.0,29000000.0,29000000.0,1.0,0.5,22093.0,1.0,32298.0,0.38,-0.11199999999999999,2381560.0,-0.21,-0.05,-0.8,-0.8,0.009000000000000001,,-0.006
176,lala-world,05-Jan-18,05-Feb-18,31,123,7,4,5.0,20191350.0,20191350.0,1.0,0.13,823.0,2.2946645354714295,10201.0,0.34,-0.253,28433.0,-0.44,0.0,0.04,0.04,0.149,,0.009000000000000001
177,blocktix,07-Jul-17,25-Jul-17,18,318,5,1,7.0,6981328.0,7506804.0,0.93,0.24,7348.945986307265,1.0,6035.0,0.4921636783561435,-0.174,11878.0,0.29,0.07,1.17,1.17,0.052000000000000005,,0.018000000000000002
178,agrello,16-Jul-17,17-Aug-17,32,295,5,4,13.0,30100000.0,43000000.0,0.7,0.56,4815.0,1.0,14959.0,0.8,-0.284,82770.0,-0.06,0.0,-0.03,-0.02,-0.057999999999999996,-3.3480000000000003,0.005
179,uptoken,16-Oct-17,15-Dec-17,60,175,1,2,9.0,18934021.0,35063002.0,0.54,0.1,25.0,1.0,3071.0,0.5647434462427986,2.021,21597500.0,-0.43,-0.08,-1.21,-1.21,0.802,,-0.011000000000000001
180,covesting,24-Nov-17,15-Jan-18,52,144,7,4,12.0,18750000.0,18750000.0,1.0,2.56,8936.0,9.0,10272.0,0.82,0.207,328108.0,-0.21,-0.12,-1.95,-1.95,-0.248,,-0.005
181,sentinel-chain,01-Mar-18,10-Mar-18,9,90,7,2,23.0,14400000.0,14400000.0,1.0,0.08,9231.0,1.0,4103.0,0.36,-0.184,1945280.0,0.52,0.11,1.74,1.74,-0.109,,0.006999999999999999
182,selfkey,14-Jan-18,14-Jan-18,0,145,7,2,48.0,21776392.0,21776392.0,1.0,0.02,11260.0,1.0,0.0,0.74,2.327,31248100.0,-0.52,-0.26,-4.06,-4.06,-0.257,,-0.013000000000000001
183,morpheus-network,22-Mar-18,22-Apr-18,31,47,12,7,12.0,9883347.0,17969722.0,0.55,0.45,12103.0,0.0,5985.0,0.64,-0.10400000000000001,193829.0,0.64,1.12,2.23,2.23,-0.244,,0.019
184,daostack,08-May-18,07-Jun-18,30,1,7,6,9.0,30000000.0,30000000.0,1.0,1.0,23982.0,9.0,5844.0,0.66,0.31,1927100.0,-0.36,-2.88,-5.75,-5.75,0.317,,-0.034
185,quantum,15-Apr-17,15-May-17,30,389,5,0,5.0,4122700.0,16433424.706358928,,0.05,7769.65093136221,1.0,9204.0,0.5039115044430998,5.732,136233.0,0.19,0.06,0.93,0.93,-0.075,,0.005
186,carvertical,26-Dec-17,04-Apr-18,99,65,5,4,20.0,19911150.0,19911150.0,1.0,0.0055,13333.0,3.0,15078.901689143211,0.5647434462427986,1.65,451064.0,-0.05,-0.07,-1.18,-1.18,-0.727,,-0.008
187,loki,,26-Mar-18,25,74,12,5,14.0,13881450.0,34566584.30097836,,0.68,17137.0,0.0,3166.0,0.46,0.259,230900.0,-0.21,-0.36,-0.72,-0.72,1.032,,0.001
188,coinpoker,19-Jan-18,26-Jan-18,7,133,7,1,15.0,52712179.0,45931858.05932918,,0.25,4929.0,8.0,5282.0,0.86,-0.61,350963.0,-0.38,-0.01,-0.18,-0.18,-0.522,,-0.005
189,blockport,27-Jan-18,31-Jan-18,4,132,12,2,11.78575519762246,15000000.0,15000000.0,1.0,0.35,28404.0,1.0,15791.638211498579,0.42,0.25,1024180.0,0.0,0.07,1.04,1.04,-0.188,,0.001
190,sureremit,10-Jan-18,10-Feb-18,31,118,1,4,11.0,10000000.0,10000000.0,1.0,1.0,2080.0,1.0,4449.0,0.34,-0.963,35294.0,-0.22,0.02,0.31,0.31,-0.546,,0.004
191,remme,13-Feb-18,22-Feb-18,9,106,7,4,20.0,20000000.0,20000000.0,1.0,0.04,16321.0,2.0,6039.0,0.74,-0.209,587552.0,-0.34,0.0,-0.05,-0.05,0.045,,0.0
192,betterbetting,15-Dec-17,31-Jan-18,47,128,5,7,16.0,5500000.0,30555556.0,0.18,0.1,2969.0,1.0,2586.0,0.4921636783561435,-0.1,196193.0,-0.04,-0.3,-0.59,-0.59,-0.9420000000000001,,0.004
193,airtoken,19-Sep-17,19-Oct-17,30,232,1,5,14.0,15000000.0,15000000.0,1.0,0.02,908.0,1.0,6513.0,0.72,-0.313,303295.0,-0.25,0.02,0.38,0.38,0.011000000000000001,,0.006
194,swissborg,07-Dec-17,10-Jan-18,34,149,6,0,13.0,50000000.0,50000000.0,1.0,0.1,4756.0,10.0,11265.0,0.3,0.027999999999999997,115322.0,-0.35,-0.18,-2.92,-2.92,-0.233,,-0.008
195,te-food,22-Feb-18,22-Mar-18,28,78,6,2,19.0,19100000.0,19100000.0,1.0,0.05,10245.0,1.0,10294.0,0.5,-0.44799999999999995,302268.0,-0.04,0.09,1.4,1.4,-0.201,,0.002
196,smartlands,02-Nov-17,20-Nov-17,18,200,12,2,11.0,1753698.0,25052829.0,0.07,1.0,1703.0,1.0,1988.0,0.68,-0.8029999999999999,102013.0,0.24,0.16,2.52,2.52,0.21100000000000002,,0.046
197,divi,25-Oct-17,21-Nov-17,27,199,12,7,15.0,2592064.0,2592064.0,1.0,0.62,2248.0,1.0,12006.770707423431,0.66,0.365,56068.0,0.17,0.24,3.82,3.82,-0.20199999999999999,,0.013000000000000001
198,latoken,22-Aug-17,10-Oct-17,49,241,7,2,35.0,18880673.0,40171645.0,0.47,0.3,5541.0,1.0,8154.0,0.44,-0.057999999999999996,163778.0,-0.05,0.11,1.73,1.73,-0.048,,0.005
199,hacken,31-Oct-17,30-Nov-17,30,190,2,0,8.0,70000002.0,56482691.50535375,,1.0,1939.0,3.0,9525.0,0.74,5.77,320959.0,0.16,0.07,1.05,1.05,0.09300000000000001,,0.006999999999999999
200,unibright,20-Apr-18,20-May-18,30,19,5,2,13.0,13542375.0,13542375.0,1.0,0.14,10203.0,0.0,5362.0,0.24,0.384,2400200.0,-1.22,-2.12,-4.23,-4.23,-0.856,,-0.038
201,sharder,22-Feb-18,22-Mar-18,28,78,12,4,12.100648412515675,5398600.0,5398600.0,1.0,0.0446,10534.0,1.0,12006.770707423431,0.26,1.284,3209300.0,-0.17,-1.36,-2.71,-2.71,-0.607,,-0.017
202,zap,21-Oct-17,20-Nov-17,30,200,7,0,23.0,2827944.0,31421600.0,0.09,0.19,131.0,1.0,12006.770707423431,0.5039115044430998,4.059,899137.0,-0.1,-0.06,-1.01,-1.01,-0.27399999999999997,,-0.006999999999999999
203,friendz,01-Mar-18,20-Mar-18,19,80,6,2,18.0,13754758.0,50943548.0,0.27,0.067,69516.0,6.0,55853.0,0.6,-0.7040000000000001,250482.0,0.16,0.06,1.03,1.04,-0.429,-2.286,0.006999999999999999
204,graft,18-Jan-18,18-Feb-18,31,110,1,0,15.0,3000000.0,25000000.0,0.12,0.28,5464.0,5.0,2628.0,0.5039115044430998,-0.846,40067.0,-0.3,0.0,-0.06,-0.06,0.23600000000000002,,0.006999999999999999
205,aphelion,15-Nov-17,07-Dec-17,22,183,12,2,12.0,4780661.0,6733325.0,0.71,0.2,14001.0,1.0,14721.0,0.4921636783561435,0.456,63598.0,0.25,1.96,3.93,3.93,-0.401,,0.013000000000000001
206,indahash,29-Nov-17,20-Dec-17,21,170,5,4,15.0,42715825.0,66743477.0,0.64,0.24,11615.0,9.0,9938.0,0.84,1.561,3113160.0,-0.2,-0.11,-1.73,-1.73,-0.326,,-0.012
207,bitclave,29-Nov-17,29-Nov-17,0,191,1,4,19.0,25547000.0,25547000.0,1.0,0.1,10597.0,6.0,22791.0,0.66,0.505,957302.0,0.12,-0.01,-0.23,-0.23,-0.004,,-0.004
208,nebula-ai,31-Mar-18,20-Apr-18,20,49,1,7,20.0,5874054.0,17800164.0,0.33,0.0059,5451.0,1.0,1438.0,0.4921636783561435,1.0390000000000001,155134.0,-0.01,-0.07,-0.15,-0.15,-0.395,,-0.008
209,etheroll,13-Feb-17,27-Feb-17,14,466,12,7,14.19262060061833,36349723.0,45931858.05932918,,0.07,18986.10291817741,0.0,2168.0,0.5749858098677566,15.857000000000001,33962.0,0.21,0.13,2.02,2.02,-4.48,,2.541
210,locktrip,29-Oct-17,30-Nov-17,32,190,5,7,20.0,4000000.0,16433424.706358928,,0.8279986571179905,7769.65093136221,1.0,12006.770707423431,0.5039115044430998,0.0,169077.0,0.44,0.14,2.19,2.2,0.064,-2.064,0.009000000000000001
211,rivetz,10-Aug-17,10-Sep-17,31,271,1,4,16.0,18653920.0,20057978.0,0.93,0.89,1586.0,1.0,9804.0,0.5,-0.446,31436.0,0.0,-0.04,-0.59,-0.59,-0.004,,0.006999999999999999
212,polyswarm,20-Feb-18,22-Mar-18,30,78,1,4,7.0,25940000.0,49884615.0,0.52,0.0165,7656.0,7.0,16.0,0.72,-0.643,25413.0,0.41,3.28,6.56,6.56,-0.028999999999999998,,0.01
213,axpire,08-Jan-18,12-Jan-18,4,147,1,7,15.0,20000000.0,20000000.0,1.0,0.1,8104.0,1.0,6529.0,0.44,0.324,292608.0,-0.23,-0.15,-2.36,-2.36,-0.599,,-0.008
214,domraider,12-Sep-17,09-Oct-17,27,242,5,4,33.0,67200000.0,67200000.0,1.0,0.12,356.0,2.0,152.0,0.62,-0.461,13888.0,0.02,0.09,1.36,1.36,-0.034,,0.006
215,matryx,13-Sep-17,12-Oct-17,29,239,1,4,15.0,1984347.0,9019759.0,0.22,0.29,1532.0,1.0,109.0,0.22,1.4980000000000002,1031.0,0.21,0.11,1.8,1.8,-0.223,,0.018000000000000002
216,bitdegree,01-Dec-17,29-Dec-17,28,161,5,11,22.0,22127834.0,22127834.0,1.0,0.08,16898.0,1.0,20488.0,0.72,5.711,693702.0,-0.2,0.05,0.79,0.79,-1.014,,0.01
217,hubii-network,17-Aug-17,31-Aug-17,14,281,7,5,15.0,7130256.0,50930400.0,0.14,0.39,1262.0,2.0,4636.0,0.4921636783561435,-0.493,23209.0,0.18,0.13,2.06,2.06,0.18600000000000003,,0.03
218,playkey,01-Nov-17,01-Dec-17,30,189,2,1,16.0,10512361.0,105123610.0,0.1,1.76,10004.0,3.0,10020.0,0.76,-0.682,9317.0,0.43,0.13,2.14,2.14,-0.213,,0.011000000000000001
219,atn,27-Apr-18,20-May-18,23,19,12,4,15.0,13881450.0,34566584.30097836,,0.9121706080373091,15583.0,1.3894606962523557,4892.0,0.4587431997303549,0.0,603047.0,0.18,-0.01,-0.09,-0.09,-0.052000000000000005,,-0.004
220,investfeed,23-Jul-17,07-Aug-17,15,305,1,4,11.0,3400000.0,16433424.706358928,,0.0,7769.65093136221,1.0,12006.770707423431,0.5039115044430998,0.0,78892.0,0.1,0.1,1.55,1.55,-0.33399999999999996,,0.01
221,flixxo,24-Oct-17,24-Nov-17,31,196,10,4,5.0,4731021.0,12130823.0,0.39,0.12,3729.0,2.0,6310.0,0.6,-0.038,106293.0,-0.04,0.17,2.66,2.66,0.063,,0.011000000000000001
222,rentberry,05-Dec-17,28-Feb-18,85,100,7,9,25.0,27500000.0,29891304.0,0.92,0.35,14667.0,9.0,20128.0,0.5749858098677566,-0.8059999999999999,294933.0,0.23,1.86,3.71,3.71,-0.40700000000000003,,0.004
223,patientory,31-May-17,03-Jun-17,3,370,1,4,6.0,7200000.0,10285714.0,0.7,0.1,7348.945986307265,1.0,12006.770707423431,0.4921636783561435,6.165,3256.0,0.08,0.09,1.41,1.41,-0.049,,0.006999999999999999
224,paragon,15-Sep-17,15-Oct-17,30,236,1,7,12.0,6000000.0,100000000.0,0.06,1.0,3808.0,6.0,12006.770707423431,0.4921636783561435,-0.35,284896.0,-0.16,0.01,0.14,0.14,-0.163,,0.0
225,faceter,15-Feb-18,30-Mar-18,43,70,11,7,9.0,28610352.0,40871931.0,0.7,0.0349,2078.0,3.027427455376447,51.0,0.5749858098677566,-0.43,135291.0,-0.35,-0.61,-1.22,-1.22,-1.579,,0.0
226,golos,30-Oct-16,02-Dec-16,33,553,12,5,11.78575519762246,13881450.0,34566584.30097836,,0.1,7348.945986307265,1.0,15791.638211498579,0.4587431997303549,10.7,701.0,-0.08,-0.01,-0.14,-0.14,-0.106,,0.006999999999999999
227,icos,15-Aug-17,15-Sep-17,31,266,2,0,23.0,14600000.0,34566584.30097836,,44.38,1818.0,3.0,5054.0,0.7,0.034,15683.0,0.1,0.05,0.76,0.76,-0.17600000000000002,,0.002
228,connectjob,12-Feb-18,30-Apr-18,77,39,7,4,24.0,10437623.0,11997268.0,0.87,0.8252017079498805,7815.0,5.0,6455.0,0.62,0.0,173329.0,-0.35,-2.76,-5.52,-5.52,0.135,,-0.008
229,cargox,23-Jan-18,04-Mar-18,40,96,5,2,10.0,6766164.0,6975427.0,0.97,0.8607916409000721,5702.0,1.0,5053.0,0.5,0.0,1317180.0,-0.06,-0.17,-2.62,-2.62,-0.28300000000000003,,-0.005
230,adbank,15-Dec-17,14-Jan-18,30,145,1,4,5.0,13962900.0,13962900.0,1.0,0.05,6628.0,1.0,6224.0,0.64,-0.16699999999999998,1033600.0,-0.14,-0.15,-2.44,-2.44,-0.303,,-0.004
